@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0,-0.322,-0.39,-0.45,-0.27,-0.14,-0.25,0.15,-0.25,-0.14,-0.43,-0.493,-0.313,-0.672,-0.208,-0.11,0.047,0.816,0.7,-0.15,-0.2,-0.28,-0.25,-0.111,0.22,-0.107,10/03/01@11/02/03@11/04/03/01@16/01@16/03/03
0.053,-0.067,-0.116,-0.125,-0.163,0.331,-0.001,0.113,-0.034,-0.06,-0.181,-0.399,-0.41,-0.27,-0.188,-0.465,-0.17,-0.18,-0.656,-0.952,-0.458,-0.801,-0.739,0.03,-0.67,-0.229,11/02/03@11/04/01@11/04/03/01@16/03/03
-0.002,-0.149,-0.452,-0.254,-0.064,0.162,0.474,0.301,0.51,0.468,-0.06,0.228,0.271,0.012,0.549,-0.554,0.507,0.046,-0.908,0.428,0.135,-0.143,-0.646,0.683,-0.3,-0.271,11/04/03/01@42/16
0.087,?,?,?,0.01,-0.204,-0.273,-0.077,-0.363,-0.07,-0.379,0.035,-0.216,0.35,-0.044,-0.13,0.286,-0.28,0.333,-0.134,?,-0.664,-0.585,0.16,-0.059,-0.249,99
0.133,-0.031,-0.192,-0.235,-0.208,0.394,0.134,0.812,0.219,0.278,0.139,-0.589,-0.816,-0.779,-1.08,-0.737,-0.496,-0.59,-1.297,-0.313,-0.281,-0.519,-0.905,-0.01,-0.045,-0.021,01/03/04@01/07/01@01/07/03@10/01/09/05
0.23,0.782,1.137,0.78,0.416,0.22,0.394,-0.219,0.633,0.366,0.74,0.758,0.589,0.453,-0.034,-0.099,1.135,0.97,0.239,-0.315,0.467,0.485,0.268,-0.2,-0.602,-0.097,01/01/09/06/02@01/07/01
0.021,0.421,0.437,0.161,0.054,-0.434,-0.005,0.154,0.165,0.241,-0.479,-0.071,-0.21,-0.612,-0.239,0.096,0.252,-0.121,0.845,0.151,0.326,0.231,0.179,-0.053,0.387,-0.156,01/02/07/01@11/02/03/04/01
0.24,0.337,0.581,1.115,0.734,-0.098,-0.202,0.03,0.191,-0.001,0.787,0.623,0.821,-0.022,0.099,0.282,0.204,-0.163,0.587,-0.255,1.053,0.892,1.666,-0.091,-0.589,-0.342,01/03/16/01@10/01/09/05@10/03/01@11/04/01@14/04@16/01@16/19/05@20/01/10@20/01/21@20/09/01@30/01/05/05/01@42/10
-0.113,-0.243,-0.087,-0.198,-0.356,0.129,-0.255,-0.268,-0.178,-0.162,-0.216,0.813,?,1.191,0.449,0.077,0.779,?,0.053,-0.079,-0.564,?,-0.333,-0.403,0.214,?,10/03/01/01/11@16/01@20/09/14@40/01@42/04@43/01/03/05
-0.067,-0.01,-0.3,-0.38,-0.27,0.242,-0.08,-0.21,-0.16,0.33,?,-0.19,-0.14,-0.2,-0.19,0.14,0.19,0,-0.146,0.835,0.13,-0.29,-0.46,0,0.622,0.07,10/03@14/04@20/01/10@20/01/21@20/09/01
0.153,0.172,-0.009,-0.108,-0.1,0.386,-0.017,0.037,0.121,0.163,0.418,-0.14,-0.091,-0.421,-0.427,-0.06,-0.139,-0.441,-0.408,0.228,0.112,-0.386,-0.468,-0.042,0.171,-0.2,14/04@20/01/10@20/09/01@42/10
0.26,0.144,0.078,0.076,0.239,-0.08,-0.243,-0.101,0.201,0.233,-0.06,-0.054,-0.104,-0.274,-0.114,0.271,0.078,-0.312,0.515,0.797,0.476,0.72,-0.047,-0.124,0.376,0.232,12/01@14/04@16/03/03@20/01/10@20/01/21@20/09/01
-0.061,0.396,0.17,?,-0.493,0.281,?,-0.087,?,0.179,-0.028,?,?,?,0.257,0.112,?,?,?,?,?,-0.541,0.939,-1.222,0.17,0.553,14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05@43/01/03/09
-0.1,0.015,0.046,0.314,0.027,?,0.318,0.406,0.424,0.425,?,-0.189,-0.278,-0.122,-0.139,-0.288,0.405,0.291,-0.61,0.269,0.201,0.012,-0.235,-0.099,0.126,-0.108,14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
0.04,-0.11,-0.47,-0.6,-0.58,0.06,0.01,-0.03,0.03,0.019,-0.21,-0.41,0.36,0.04,-0.27,0.12,-0.06,-0.33,0.33,0.28,-0.25,-0.43,-0.69,-0.08,0.5,-0.06,12/01@16/07@20/01/21@20/09/01@42/10/05
-0.18,-0.18,-0.2,-0.43,-0.28,-0.02,-0.34,-0.25,-0.38,-0.09,-0.35,-0.897,0.24,0.01,-0.09,0.36,-0.263,-0.213,0.66,-0.08,-0.23,-0.5,-0.59,0.04,0.261,0.432,14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
0.205,0.02,-0.01,0.03,-0.02,0.098,-0.26,-0.25,-0.24,-0.25,0.038,-0.721,-0.702,0.023,0.432,0.406,0.667,0.111,0.801,?,-1.08,-0.93,-0.37,-0.112,1.034,0.125,01/01/06/06/02@01/01/09/01/01@01/01/09/01/02@01/01/09/02/01@01/03/01@01/05/05/04@01/05/05/07@01/05/13/03@01/06/10@01/07@02/13@16/21/17
0.062,0.8,0.47,0.33,0.13,-0.33,-0.43,-0.21,-0.05,-0.45,-0.62,0.355,1.91,0.18,0.67,0.45,0.62,-0.09,0.6,0.341,0.47,0.29,0.48,0.66,0.321,-0.27,16/17/09@20/01/01/01/01@20/03/22@20/09/18@34/01/01/01
-0.097,-1.689,-1.988,-1.981,-1.569,-0.478,-1.519,-1.898,-2.375,-2.401,-2.657,-0.229,-0.087,-0.366,-0.221,0.04,-0.272,-0.744,-0.009,-0.394,-0.112,-0.173,-0.413,0.057,-1.098,-0.784,02/11/05@02/13/03@02/45/15@16/17/09@16/21/01@20/01/15
0.35,1.159,1.339,1.917,2.275,0.16,0.122,0.551,0.723,0.642,0.76,2.649,2.291,0.212,0.507,1.396,1.108,0.723,0.71,-0.184,1.454,1.308,0.441,-0.052,-2.272,-0.496,02/11@02/13/01@02/13/03@20/01/15@20/03
0.354,-0.537,-0.864,-0.878,-0.515,0.557,-0.014,-0.359,-1.068,-0.7,-1.403,0.05,0.249,0.103,0.328,-0.256,0.444,-0.132,-1.376,-0.682,0.619,0.178,0.015,0.006,-1.048,-0.321,02/11@02/13/03
0.198,-0.759,-0.578,-0.36,-0.416,0.107,-0.619,-1.227,-1.533,-1.45,-0.762,-0.285,-0.297,0.143,-0.057,0.302,0.481,-0.207,0.482,-0.259,0.393,0.012,-0.404,-0.217,-0.609,-0.695,02/11@02/13/03@14/10
0.35,-0.19,-0.725,-0.259,-0.43,0.04,-0.01,-0.516,-0.569,-0.759,-0.57,-0.324,0.058,-0.088,0.572,0.005,0.6,0.45,-1.635,-0.577,0.71,0.672,0.518,-0.18,?,-0.003,02/11@02/13/03@20/01/15@20/03
0.063,0.63,0.305,0.365,0.554,-0.126,-0.213,-0.133,-0.308,-0.645,0.228,0.327,0.366,-0.12,0.13,0.244,0.509,-0.004,0.02,-0.034,0.512,0.42,0.176,0.039,-0.188,0.038,14/07@20/01/15@32/01/01@32/01/03@32/07@34/01@42/16
-0.03,-0.505,-0.432,-0.332,-0.575,-0.14,-0.313,-0.026,-0.432,-0.201,-0.36,-0.442,-0.386,-0.175,-0.286,-0.245,-0.056,-0.277,0.709,1.083,0.419,-0.15,0.126,-0.104,0.591,-0.11,10/03/01@11/02/03/04@30/01@32/01/01@32/01/03@40/01
0.308,2.059,2.696,2.845,2.983,-0.271,-0.162,0.768,1.471,1.148,3.055,0.51,0.831,0.941,0.888,0.42,0.473,0.59,0.002,-0.204,2.52,2.964,1.557,0.069,-1.691,-0.537,32/01/01@32/07/07@34/01/01/01@34/11/03
-0.31,-0.14,0.21,0.26,0.11,-0.426,-0.06,0.04,-0.11,-0.26,0.345,0.397,0.557,0.242,0.01,0.287,0.346,0.52,0.208,0.305,0.943,1.081,1.038,-0.103,0.079,-0.22,10/01/03@10/03/01@14/07@20/01/15@32/01/01@32/07/07@42/25
?,0.384,0.349,0.313,0.176,0.226,0.199,0.284,0.456,0.488,0.207,0.165,0.271,0.512,0.127,-0.117,-0.115,0.543,-0.593,-0.494,0.697,0.007,0.037,-0.106,-0.606,0.24,14/01@16/17/09@20/01/01/01/01/01@20/03@20/09/07@32/01/01@32/07@34/01/01/01
-0.013,-0.311,-0.21,-0.02,0.184,-0.271,-0.326,1.083,-0.214,-0.025,0.044,0.049,-0.082,0.093,-0.035,-0.342,-0.133,-0.29,0.094,0.516,0.225,0.437,0.139,-0.137,?,-0.185,01/04@14/10@16/19/03@42/19
-0.022,-0.15,0.045,0.159,-0.003,-0.472,-0.277,0.131,-0.157,-0.225,-0.037,0.45,0.094,-0.02,-0.093,-0.365,-0.459,-0.307,0.437,0.04,0.687,0.498,0.431,-0.114,-0.263,-0.63,14/04@16/02@20/09/03
0.102,0.172,-0.083,-0.241,-0.505,-0.087,-0.065,0.101,0.006,-0.11,-0.307,0.731,-0.062,-0.507,-0.658,-0.567,-0.182,-0.72,0.222,-0.342,-0.158,0.374,0.104,0.813,-0.494,-0.144,01/04@14/07/03@16/17/07@16/17/09@32/01/11
0.088,0.615,0.189,-0.03,-0.017,0.045,0.226,0.065,?,?,0.237,-0.234,0.204,-0.08,0.435,0.415,?,?,-0.135,0.694,0.959,1.13,0.272,0.503,?,-0.077,99
0.05,0.528,0.693,0.619,0.722,-0.12,0.022,0.181,0.432,0.322,-0.25,0.426,0.4,-1.079,-1.223,0.034,-0.382,0.034,0.639,-0.459,1.351,1.341,1.069,-0.064,-0.408,-0.484,01/06/02/01
0.04,0.179,-0.124,-0.173,0.1,-0.14,-0.059,0.052,0.308,0.204,-0.41,0.187,-0.264,-0.422,-0.273,0.342,0.038,-0.541,0.391,0,-0.365,-0.346,-0.169,0.126,0.216,0.481,01/06/02/01@01/06/10@11/02/03/01@11/02/03/04@18/02/09
?,0.596,0.302,0.3,0.703,0.325,0.465,0.487,0.742,0.373,0.325,0.605,0.561,-0.221,0.503,0.122,0.644,0.678,0.318,-0.196,0.429,0.833,0.691,-0.176,-0.451,-0.071,01/06/02/01
0.072,0.041,-0.356,-0.091,-0.197,-0.08,-0.388,-0.082,-0.335,-0.278,0,-0.518,?,0.665,0.224,0.153,-0.305,0.002,-0.044,0.452,0.529,0.093,0.107,-0.181,?,0.006,01/06/02/01
0.07,0.246,0.245,0.31,0.222,0.05,0.175,0.059,0.242,0.07,0.3,0.176,-0.248,-0.216,-0.398,-0.146,-0.193,0.129,-0.473,0.12,0.78,0.771,0.46,-0.127,0.093,0.05,01/06/02/01
?,0.139,0.696,0.788,0.813,-0.06,0.003,0.425,0.103,0.169,0.408,-0.386,0.034,-0.062,-0.022,-0.201,-0.219,-0.146,-0.031,-0.504,0.172,0.339,0.467,-0.028,-0.147,-0.047,14/04
0.02,-0.04,0.13,-0.18,0.15,0.25,-0.27,-0.14,-0.24,0.07,-0.13,-0.64,0.7,0.29,0.19,0.14,-0.65,0.498,0.231,0.41,-0.17,0.05,-0.51,0.15,0.52,0.1,42/10
0.291,-0.088,-0.013,-0.018,-0.027,-0.156,-0.122,-0.139,-0.209,-0.164,-0.175,-0.507,-0.732,-0.498,-0.59,-0.285,-0.219,-0.598,0.314,-0.293,-0.813,-1.426,-0.754,-0.055,-0.085,-0.103,01/01/05/01/01@01/07/01@01/20/17/03@01/20/23@32/07@40/01@43/01/03/09
-0.277,-0.103,0.098,-0.079,-0.147,-0.987,-0.905,0.057,-0.538,-0.553,-0.537,0.492,-0.039,-0.289,-0.54,0.397,-0.645,-0.704,0.455,0.205,-0.692,-1.224,0.053,-0.063,0.565,-0.168,01/04@10/03/01/01/03@14/07/03@20/01/11@20/09@34/01@34/11/12
0.18,0.119,0.185,-0.02,0.184,-0.254,-0.482,-0.05,-0.102,-0.42,0.009,?,-0.427,-0.374,-0.36,-0.015,0.342,0.139,0.666,-0.414,-0.34,-0.387,-0.445,-0.047,0.257,-0.16,01/01/03/03/01
0.227,0.508,0.386,0.078,0.159,0.341,0.384,0.471,0.896,0.837,0.508,-0.201,-0.393,-0.08,-0.43,-0.171,0.266,0.121,0.006,0.124,-0.476,-0.681,-0.816,-0.005,0.898,0.064,01/01/03/03/01@01/05
-0.158,0.84,0.39,0.84,0.43,0.548,0.59,0.82,0.94,0.84,0.861,0.28,0.32,-0.16,0.16,0.041,0.4,0.41,-0.602,-0.114,0.798,0.739,0.138,-0.12,-0.054,-0.02,14/07/11@14/13/01/01@16/01@32/01
0.294,0.836,1.124,1.143,1.25,0.431,0.473,0.609,0.962,0.708,1.172,0.579,0.266,-0.267,-0.312,0.082,0.552,0.251,-0.2,-0.452,0.625,0.334,0.29,-0.096,0.048,0.121,10/03/01@10/03/02@14/07/11@14/13/01/01@16/01@16/19/03@32/01@43/01/03/09
-0.089,0.914,1.312,1.44,1.37,0.389,0.633,0.733,0.933,0.901,0.814,0.675,0.874,-0.027,-0.259,0.191,0.346,0.2,0.254,0.001,0.873,0.696,0.367,-0.295,-0.129,-0.159,14/07/11@14/13/01/01@16/01@32/01
0.406,1.164,1.254,1.307,1.37,0.417,0.747,0.954,1.15,1.099,0.776,0.487,0.587,0.011,0.51,0.202,0.66,0.606,-0.545,-0.203,0.557,0.481,0.308,-0.074,0.051,-0.093,10/03/02@14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
?,1.341,0.637,?,?,0.736,0.63,0.577,0.832,0.794,0.902,0.533,0.661,0.094,-0.462,0.442,?,?,-0.125,-0.065,?,-0.393,-0.737,0.649,-0.466,-0.182,14/07/11@14/13/01/01@16/01@16/07@18/01/07@18/02/01@32/01
0.183,0.495,0.462,0.513,0.548,0.546,0.504,0.621,0.9,0.815,0.767,0.203,0.056,-0.651,-0.483,-0.484,0.349,0.07,-1.637,-0.229,0.936,0.805,0.499,0.68,-0.286,0.171,14/13/01/01@16/07
0.424,0.995,0.637,0.671,0.656,0.647,0.701,0.649,1.345,1.094,1.002,0.905,0.837,-0.246,-0.28,0.094,0.414,0.177,-0.469,-0.32,0.516,0.394,0.489,-0.112,-0.535,-0.068,01/04@10/01/05/01@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
-0.04,0.477,1.519,1.797,1.68,-0.51,-0.166,0.645,0.553,0.609,0.93,1.712,1.401,1.452,1.34,0.711,-0.024,-0.148,0.851,0.564,1.342,1.882,1.924,-0.106,?,-0.403,14/07/11@14/13/01
-0.12,0.34,0.23,0.23,0.24,-0.11,-0.203,-0.03,-0.01,0.02,-0.13,-0.61,0.11,-0.12,0.309,0.23,-0.13,-0.613,0.25,0.334,-0.65,-0.65,-0.4,-0.3,0.07,-0.23,01/04@02/13@10/03/03@14/10@14/13@16/17/09@16/19/03@20/01/10@20/09/04@20/09/14@32/01@34/07@42/16
0.26,0.98,1.02,1.07,1.16,-0.135,0.07,0.45,0.84,0.51,0.579,0.404,0.367,-0.085,0.024,0.282,0.191,-0.284,0.627,0.469,0.97,0.95,0.68,0.055,-0.075,-0.248,14/07/11@14/13/01@16/17/09
0.18,1.58,?,?,-1.322,0.457,?,?,?,?,0.195,0.102,-0.066,-0.253,-0.107,-0.321,0.068,0.352,-1.3,-0.735,?,?,?,?,-0.518,0.008,11/02/03/04@12/01/01@12/04@14/04@14/07/05@14/07/07@14/13/01/01@16/01@16/17/09@32/01@40/01
0.166,0.93,0.48,0.25,0.21,0.661,0.69,1,0.77,0.98,0.816,0.287,0.026,-0.704,-0.543,0.609,0.484,0.501,-0.936,0.116,0.33,2.017,0.46,0.936,-0.563,-0.282,10/03/01/01/09@11/02/03/04/01@14/13/01/01@40/01@42/04@43/01/03/05
0.285,1.039,0.928,1.208,1.135,0.641,0.644,0.651,1.123,1.021,0.929,0.686,0.658,0.013,0.024,0.114,0.459,0.201,-0.141,-0.053,1.15,0.349,0.39,-0.097,-0.007,-0.17,01/04@10/01/05/01@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
0.056,0.043,-0.009,-0.078,0.007,0.499,0.226,-0.137,0.318,0.411,0.06,0.352,-0.02,-0.096,-0.378,-0.027,0.317,-0.012,?,0.055,0.127,0.292,?,-0.387,-0.071,-0.068,01/01/13@01/05/25@10/01/03@10/03/01@14/07@14/13/01
0.07,0.69,0.82,0.85,0.84,0.14,0.35,0.61,0.97,0.74,0.68,0.36,0.36,-0.24,-0.23,-0.23,0.25,0.15,-0.58,-0.61,0.54,0.45,-0.01,0.82,-0.33,-0.24,10/01/05/01@10/03/01/01@10/03/03@11/02/03/04@14/07/05@14/07/07@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@30/01/05/01/04@32/01/07@32/01/09@34/11/03/07@40/01/05@42/04/05@43/01/03/09
-0.1,0.421,0.394,0.41,-0.007,?,0.252,0.309,0.311,0.169,?,-0.158,-0.128,-0.143,0.115,-0.085,-0.029,-0.061,-0.818,-0.579,1.289,1.212,1.092,-0.126,-0.376,0.023,10/01/03@10/01/05/01@10/03/01/01/09@10/03/01/01/11@14/07/05@14/07/07@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@32/01/07@32/01/09@34/11/03/07@42/04/05@43/01/03/09
0.021,0.55,0.522,0.46,0.372,-0.278,-0.211,-0.038,0.256,0.399,-0.115,0.144,0.442,-0.15,-0.188,0.327,-0.023,-0.166,0.455,0.143,1.336,1.736,0.908,0.678,-0.094,-0.022,10/01/11@14/07/05@14/07/11@14/13/01@20/09/18/09/01@34/11/03/13@42/25@43/01/03/09
0.374,0.97,0.67,0.6,0.626,0.31,0.15,0.17,0.53,0.73,0.57,1.04,0.43,0.36,-0.12,0.54,0.47,0.35,0.09,0.69,1.43,1.49,0.57,-0.31,?,-0.18,14/07/05@14/13/01
-0.536,-0.28,-0.052,?,0.052,0.262,-0.725,-0.474,-0.543,-0.407,-0.348,0.133,-0.404,-0.7,-0.478,-0.001,-0.633,-0.631,0.592,-0.251,-1.266,-1.225,-0.333,-0.152,?,-0.733,14/01@16/01
