@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___120_min                        numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_30_min                                             numeric
@ATTRIBUTE wt_plus_gamma_45_min                                             numeric
@ATTRIBUTE wt_plus_gamma_60_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___60_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA                     numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.28,-0.064,-0.671,-0.598,-0.548,0.39,0.372,0.034,-0.082,-0.492,-0.012,0.14,-0.28,-0.609,-0.793,-0.897,-0.552,-0.211,0.107,0.571,-0.463,0.102,0.178,-0.265,-0.382,0.113,0.534,0.398,-0.669,-0.649,-0.286,-2.095,-2.911,-2.272,-0.311,0.04,0.322,0.117,0.699,12/01/01@12/04@16/01
0.315,-0.065,-0.225,-0.252,-0.119,?,0.348,0.062,0.225,0.102,0.117,0.316,0,-0.316,-0.68,-0.409,-0.367,-0.379,0.39,0.355,-0.445,0.02,0.106,-0.286,-0.057,0.001,0.182,0.365,-1.428,-0.765,-0.182,-1.343,-2.23,-2.055,-0.018,0.162,-0.101,?,0.96,12/01/01@12/04@16/01
0.185,-0.02,-1.019,-0.667,-0.9,0.327,0.372,-0.376,?,0.078,0.158,0.348,0.026,-0.697,-0.584,-0.588,-0.287,0.115,-0.238,0.273,-0.557,0.555,-0.366,-0.563,0.038,0.195,0.384,-0.085,-1.262,-0.241,-0.175,-0.169,-0.962,-0.489,-0.257,0.168,-0.386,?,0.88,12/01/01@12/04@16/01@16/17/09
0.371,-0.298,-0.751,-0.779,-0.66,0.611,0.412,-0.048,0.079,-0.129,0.198,0.252,-0.221,-0.316,-0.554,-0.383,-0.245,-0.044,0.072,-0.22,-0.34,-0.022,0.379,-0.267,-0.468,0.191,0.279,0.339,-1.245,-0.845,-0.361,-1.394,-2.289,-1.937,0.107,-0.212,0.25,0.154,0.583,12/01/01@12/04@16/01
0.36,-0.223,-0.171,-0.286,-0.258,0.46,0.095,-0.183,0.02,-0.1,-0.238,-0.158,0.01,-0.784,-0.926,-0.706,-0.745,-0.746,-0.2,-0.065,-0.291,0.903,0.572,-0.244,-0.205,-0.179,0.062,-0.105,-0.593,-0.338,-0.112,-1.245,-2.537,-1.542,0.023,?,-0.229,0.403,0.622,11/04/01@12/01/01@12/04@16/01@16/03/03
0.2,-0.319,-0.356,-0.537,-0.391,0.61,0.023,-0.277,-0.113,-0.224,-0.227,-0.314,-0.03,-0.969,-1.14,-0.981,-0.714,-0.796,-0.423,-0.303,-0.357,0.617,0.493,-0.423,-0.252,-0.329,-0.014,-0.136,-0.556,-0.531,-0.22,-1.279,-2.585,-1.621,0.032,0.332,-0.28,0.336,0.587,11/04/01@12/01/01@12/04@16/01@16/03/03
-0.01,-0.52,-0.512,-0.428,-0.76,0.629,0.34,0.044,-0.087,-0.021,-0.031,-0.005,-0.169,-0.54,-0.971,-0.887,-0.62,-0.108,0.388,-0.364,-0.63,-0.131,0.031,-0.351,-0.283,0.156,0.346,0.311,-1.453,-0.732,-0.341,-1.543,-2.801,-2.243,-0.14,0.058,-1.126,0.175,0.602,12/01/01@12/04@16/01
0.169,-0.43,-0.607,-0.73,0.341,0.252,-0.071,-0.563,-0.231,-0.312,-0.405,-0.312,-0.249,-1.147,-1.289,-1.018,-0.579,-0.757,-0.344,-0.438,-0.806,-0.204,-0.139,-1.045,-0.463,-0.328,0.246,-0.256,-1.154,-0.424,-0.23,-1.163,-2.329,-1.871,-0.027,0.14,0.131,-0.056,0.439,12/01/01@12/04@16/01
0.334,-0.107,-0.247,-0.193,-0.194,0.706,0.299,0.025,0.127,0.052,0.069,0.222,0.066,-0.46,-0.814,-0.72,-0.543,-0.667,-0.113,0.082,-0.375,0.262,0.177,-0.167,-0.201,-0.115,0.147,0.109,-0.795,-0.423,-0.121,-1.473,-2.845,-2.09,?,0.338,0.417,0.144,0.673,12/01/01@12/04@16/01
?,-0.023,-0.194,0.198,0.14,?,0.095,0.077,-0.014,-0.159,-0.039,-0.03,?,0.085,0.062,0.084,-0.075,0.178,-0.059,0.189,-0.394,0.174,-0.177,-0.008,0.542,-0.129,-0.454,0.481,-0.587,-0.785,-0.288,-0.344,-0.53,-0.385,0.019,0.153,-0.075,-0.686,-0.389,12/01/01@42/16
0.332,0.524,-0.112,0.516,0.393,0.589,0.351,0.068,0.297,0.2,0.002,0.311,0.495,0.084,0.169,0.162,0.286,0.574,0.108,1.269,0.048,0.608,0.267,0.28,0.22,0.252,0.209,0.388,-0.022,0.757,0.262,0.238,-0.013,-0.812,-0.096,0.02,0.1,0.164,-0.455,01/06@12/01/01@42/16
0.024,0.267,-0.088,-0.228,-0.004,0.345,0.228,0.204,0.459,0.29,0.525,0.254,0.452,0.419,0.186,0.22,0.078,-0.132,-0.777,-0.536,-0.043,-0.383,-0.396,0.194,0.142,-0.273,-0.525,-0.198,-0.594,-0.542,-0.848,0.512,0.053,-0.456,-0.002,0.316,-0.575,-0.683,-0.458,12/01/01@42/16
-0.088,0.06,-0.16,0.32,0.07,0.215,0.037,0.24,0.042,0.001,-0.118,0.214,0.236,-0.23,0,0,0.09,-0.26,-0.08,-0.19,-0.325,-0.241,-0.003,0.01,0.22,0.17,0.1,0.19,-0.54,-0.495,-0.302,-1.649,?,-4.17,-0.11,0.135,-0.271,-0.884,-0.62,12/01/01@42/16
0.3,0.292,-0.397,-0.174,-0.089,0.1,0.416,0.375,0.209,-0.118,0.451,0.465,0.04,-0.011,0.182,0.191,0.288,0.37,-0.103,0.173,-0.12,-0.173,0.001,0.334,0.344,0.397,0.202,0.303,-1.063,-0.399,-0.173,-0.146,-0.04,-0.083,-0.273,0.17,-0.474,-0.758,-0.089,12/01/01@42/16
0.28,0.44,-0.005,-0.017,-0.073,0.318,0.385,0.147,0.284,-0.313,0.044,0.271,0.014,0.117,0.182,0.217,0.09,0.176,0.177,0.633,-0.424,-0.106,0.245,0.367,0.369,0.378,0.262,0.095,-0.728,-0.236,-0.421,0.172,0.262,0.36,-0.228,0.042,0.267,-1.019,-0.45,12/01/01@42/16
0.206,-0.18,-0.439,-0.368,-0.483,0.202,-0.021,0.089,-0.02,0.025,-0.191,-0.114,-0.14,0.159,-0.126,-0.176,0.015,-0.369,-0.318,-0.099,-0.195,-0.504,-0.301,-0.196,-0.013,-0.106,-0.091,0.107,-1.053,-1.058,-0.74,0.181,-0.377,-0.329,-0.079,0.089,?,-1.023,-0.331,12/01/01@42/16
-0.05,0.115,-0.382,-0.308,-0.242,0.557,0.503,0.398,0.451,0.624,0.423,0.666,0.431,0.123,0.239,0.211,0.4,-0.071,-0.554,-0.105,-0.506,-0.663,-0.446,-0.167,0.111,-0.145,-0.414,-0.211,-1.018,-0.421,-0.758,0.123,-0.301,-0.405,0.796,?,0.407,-1.149,-0.499,12/01/01@16/03/03@42/16
0.175,0.212,0.171,0.327,0.666,0.361,0.56,-0.438,0.453,0.55,0.41,0.372,0.411,0.225,0.126,0.179,-0.093,-0.118,0.29,0.216,-0.649,-0.191,0.308,-0.095,0.182,-0.096,-0.255,-0.078,-1.117,-0.094,-0.247,0.167,0.081,-0.5,-0.186,0.185,0.365,-0.712,-0.475,12/01/01@42/16
0.241,0.312,0.141,0.353,0.64,0.459,0.084,0.09,0.224,0.172,0.071,0.253,0.232,0.237,0.239,0.314,0.07,0.114,-0.028,0.141,-0.224,-0.236,-0.176,0.193,-0.106,-0.119,0.02,0.049,-0.155,-0.578,-0.317,0.169,-0.068,-0.533,-0.068,0.363,1.181,-0.994,-0.456,12/01/01@42/16
-0.014,0.218,-0.491,-0.159,-0.209,0.186,0.446,0.353,0.509,0.378,0.307,0.298,-0.268,0.388,0.356,0.239,0.05,-0.151,-0.293,-0.124,-0.135,-0.308,-0.077,0.559,0.375,-0.071,-0.128,-0.016,-0.728,-0.222,-0.215,0.572,0.129,-0.235,-0.227,0.065,0.395,-0.819,-0.649,12/01/01@42/16
0.055,0.196,-0.123,0.079,0.039,0.348,0.23,?,0.431,0.336,0.226,0.253,0.558,0.382,0.376,0.248,0.161,0.318,0.237,-0.058,-0.198,0.412,-0.113,-0.142,0.483,0.266,0.135,0.106,-1.147,-0.17,-0.326,0.456,0.36,-0.348,-0.174,0.136,-0.747,-0.482,-0.554,12/01/01@12/04/01@42/16
-0.19,-0.27,0.16,0.33,0.26,-0.14,-0.24,-0.05,0.06,0.14,0.12,0.05,0.26,-0.197,0.395,?,-0.106,0.224,-0.165,0.112,0.2,-0.06,-0.14,-0.592,0.268,0.105,-0.039,-0.436,0.18,-0.18,-0.14,0.875,-0.17,0.25,0.405,0.01,0.18,-0.14,-0.076,12/01/01@14/07@42/16
-0.058,0.195,-0.328,-0.052,-0.138,-0.179,-0.167,-0.077,0.034,-0.097,-0.23,-0.183,-0.429,0.559,0.401,0.301,-0.364,0.187,-0.092,-0.074,0.369,0.411,-0.064,0.318,-0.273,-0.682,?,0.041,0.542,-0.091,0.105,-0.886,-1,-0.158,-0.171,0.16,-0.162,0.053,-0.18,12/07
0.386,-0.29,-0.516,-0.869,-0.542,0.119,-0.299,-0.266,-0.086,-0.37,-0.082,0.144,0.031,-0.18,-0.371,-0.18,-0.193,-0.262,0.454,0.571,0.166,1.986,0.352,-0.622,-0.843,-0.618,0.139,0.048,0.855,0.417,0.464,-1.255,-1.828,-1.537,0.49,-0.162,0.071,1.641,-0.04,01/03/01@01/04@11/02/03@11/04/03/01@12/04/02@16/01@16/19/05
0.111,-0.157,-0.518,-0.532,-0.522,0.32,-0.091,-0.478,-0.231,-0.335,-0.325,-0.179,-0.277,0.14,0.164,0.423,-0.009,-0.141,-0.392,-0.083,-0.031,0.392,0.508,0.315,0.6,-0.038,-0.115,0.014,0.11,0.279,-0.028,0.553,0.256,-0.565,-0.13,0.143,-0.276,-0.484,-0.827,12/04/02@16/19/05
-0.06,0.902,1,1.228,1.166,-0.33,0.134,0.672,0.58,0.762,0.511,0.274,0.18,0.698,0.465,0.171,0.301,0.298,0.325,0.348,0.503,0.328,0.503,0.458,-0.18,-0.405,0.054,0.339,0.165,0.046,0.403,0.623,0.559,0.523,-0.165,0.06,0.443,0.157,-0.173,12/04/02@16/19/05
0.15,-0.15,-0.22,-0.342,-0.28,0.24,-0.07,-0.42,-0.23,-0.25,-0.09,0.12,-0.01,-0.55,-0.04,0.56,-0.22,-0.41,-0.04,-0.1,-0.24,0.16,0.04,-0.233,-0.11,0.45,0.27,0.22,-0.5,-0.26,-0.14,-0.22,-0.42,-0.49,-0.57,0.14,-0.339,0.07,0.34,12/04/01@12/07
0.1,-0.325,-0.236,-0.165,-0.27,0.51,0.403,0.118,0.37,0.107,0.218,-0.059,0.3,-0.633,-0.579,-0.524,-0.291,-0.662,-0.366,-0.529,-1.082,-0.146,-0.279,-1.074,-0.134,-0.034,0.162,-0.124,-1.384,-0.298,-0.376,-0.626,-0.953,-1.041,-0.027,0.172,?,-0.051,0.087,12/01/01@12/04/01@12/07@16/01@16/03/03@18/02/03@32/01
-0.063,-0.354,-0.027,-0.109,0.126,0.327,0.156,0.027,0.165,0.456,0.157,-0.013,0.267,-0.562,-0.695,-0.344,-0.13,-0.355,-0.297,-0.389,-0.322,0.177,?,-0.64,0.288,-0.013,0.15,0.087,-1.381,-0.134,-0.308,-0.714,-0.89,-0.239,-0.083,0.187,-0.074,0.363,0.283,12/04/01@18/02/03
0.01,-0.27,-0.43,-0.69,-0.665,0.33,0.01,-0.24,0.13,0.3,-0.1,0.31,-0.01,-0.51,-0.43,-0.32,-0.45,-0.47,-0.324,-0.477,-0.31,0.15,-0.06,-0.61,-0.064,-0.32,0.02,-0.43,0.16,0.756,0.53,-0.46,-0.85,-1.24,-0.03,0.1,-0.987,0.41,0.01,10/03/01@12/04/01@43/01/03/09
0.26,-1.281,-1.591,-1.559,-1.949,0.05,-0.393,-0.165,-1.652,-1.689,-1.833,-1.592,-1.83,0.029,0.201,0.508,0.389,0.079,0.445,0.071,-0.254,1.206,0.635,-0.278,0.752,0.498,0.621,0.527,-0.717,0.31,-0.177,-0.238,-0.757,-0.932,-0.153,0.14,-0.062,0.186,0.395,01/03/16@12/04/01@16/01@40/10/02
0.012,-0.35,-0.38,-0.6,-0.49,0.385,0.14,-0.19,0.11,0.19,0.01,0.09,0.167,-0.79,-0.92,-0.72,-0.6,-0.63,-0.35,-0.6,-0.969,-0.26,-0.363,-0.53,0.03,-0.26,0.13,-0.1,-1.861,-0.186,-0.236,-0.68,-1.28,-1.23,-0.14,0.15,-0.138,-0.032,0.38,12/04/03@16/01@18/02/01/01/01
-0.687,-0.381,-0.388,-0.548,-0.513,0.509,0.264,-0.172,0.21,0.377,-0.002,-0.08,0.027,-0.795,-1.113,-0.889,-0.693,-0.778,-0.357,-0.575,-0.771,0.228,-0.759,-0.317,0.27,0.069,0.196,0.057,-0.539,0.422,-0.004,-0.891,-1.514,-1.208,-0.091,0.249,0.181,?,0.167,12/04@12/10@16/19/03
0.018,-0.37,-0.45,-0.55,-0.36,0.457,0.157,-0.22,0.096,0.15,-0.27,0.06,-0.02,-0.02,-0.12,-0.05,-0.648,0.08,0.41,-0.275,-0.08,0.67,0.45,-0.44,-0.069,-0.272,0.206,-0.249,0.17,0.754,0.15,-0.87,-1.451,-1.719,-0.25,0.06,-0.086,0.101,-0.008,12/04@12/10@16/03@16/19/03
0.15,0.01,-0.23,-0.6,-0.55,0.172,-0.13,-0.07,0.11,0.22,-0.05,-0.06,-0.138,-0.26,-0.38,-0.35,-0.56,-0.63,-0.35,-0.55,-0.569,0.178,0.023,-0.22,-0.13,-0.3,-0.07,-0.73,-0.905,0.534,0.319,-1.05,-1.48,-1.83,-0.02,0.166,-0.049,0.678,0.05,12/04@12/10@16/19/03
-0.03,-0.432,-0.511,-0.701,-0.827,0.38,-0.002,-0.135,0.03,0.069,-0.052,-0.149,-0.04,-1.065,-1.001,-0.645,-0.626,-0.864,-0.537,-0.749,-1.112,-0.186,-0.338,-0.599,-0.043,-0.304,0.047,-0.903,-1.171,0.127,-0.043,-0.823,-1.217,-1.553,-0.131,0.289,-0.183,0.53,0.214,11/02/01@12/04@12/10@16/03/03@16/19/03
0.003,0.207,-0.05,0.074,0.297,0.133,-0.187,-0.078,-0.152,0.184,-0.177,0.281,0.458,0.152,0.326,?,-0.59,0.107,-0.199,0.172,0.404,0.617,0.407,0.405,0.051,-0.494,-0.36,0.14,0.29,-0.123,0.145,0.199,-0.481,?,-0.186,0.248,1.225,0.553,-0.388,12/10@16/19/03
0.076,-0.214,-0.22,0.062,-0.097,0.462,0.268,-0.395,0.156,0.423,0.185,-0.005,0.409,-0.378,-0.627,-0.327,-0.126,-0.465,-0.105,-0.3,-0.295,0.446,-0.136,0.104,0.236,0.159,0.235,0.181,-0.573,0.185,-0.061,-0.552,-0.761,-0.609,-0.068,0.293,0.42,0.621,0.317,12/10
0.07,0.365,-0.162,-0.031,-0.276,0.14,0.194,-0.119,0.296,0.282,0.055,-0.017,0.19,-0.045,-0.79,-0.709,-0.387,-0.132,-0.334,0.017,-0.652,0.115,0.199,-0.015,0.501,0.085,0.087,-0.107,-0.796,0.52,0.267,-0.608,-0.755,-1.289,-0.037,0.08,0.312,?,0.18,12/04@12/10@16/01/01@16/03/03@16/19/03@30/05/01/05@34/05@40/10/02
?,-0.205,-0.015,0.043,-0.343,?,0.086,0.355,0.272,-0.026,0.16,0.058,0.585,0.317,0.226,0.547,0.56,0.131,0.939,0.049,-0.28,-0.372,-0.491,-0.025,0.104,-0.167,-0.167,0.019,-1.456,-0.332,-0.352,0.463,0.27,0.316,-0.066,0.237,2.519,-0.74,-0.196,11/02/03@11/04/03/01@11/06/02@12/04@12/07@16/19/05
?,0.042,-0.296,-0.213,-0.161,1.585,0,0.04,0.152,0.078,-0.091,-0.037,?,0.407,-0.047,0.23,-0.118,-0.042,-0.236,-0.116,-0.094,-0.211,-0.453,0.193,-0.053,-0.317,0.069,-0.383,-0.346,0.276,0.389,0.371,0.076,-0.28,-0.069,0.215,0.776,0.158,-0.179,12/07
0.003,-0.19,-0.77,-1.27,-1.02,-0.076,-0.34,-0.51,-0.45,-0.83,-1.15,-1.01,-1.84,1.01,-0.11,-0.15,-0.29,-0.45,-0.37,-0.73,0.615,0.913,0.223,0.85,0.99,0.45,0.55,-0.27,1.403,0.866,0.561,-0.05,0.17,-0.66,0.13,?,0.324,0.323,-0.15,11/02/03/01@11/02/03/04@43/01/03/05
-0.062,-1.012,-1.286,-1.01,-1.141,0.435,0.004,-0.53,-0.254,-0.238,-0.221,-0.158,-0.28,-0.419,-0.727,-0.671,-0.601,-0.655,-0.489,-0.529,-1.111,-0.553,-1.085,-0.903,0.203,-0.141,0.004,0.029,-1.149,-0.265,-0.564,-1.417,-2.151,-1.526,0.841,-0.553,0.169,-0.116,0.311,01/03/01/03@01/03/04@01/05
0.078,-0.263,0.065,0.139,0.213,0.309,0.238,-0.059,0.195,0.299,0.212,0.253,0.696,-0.48,-0.395,-0.552,-0.34,-0.499,-0.304,-0.486,?,-0.032,-0.016,0.065,0.397,0.242,0.137,0.044,-0.381,-0.152,-0.396,-0.804,-0.355,-0.159,-0.087,0.236,0.399,0.135,0.272,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07@16/17/07@40/01/05
