@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___120_min                        numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___60_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1___log_phase_IR_time_=_0_sample                       numeric
@ATTRIBUTE DES459_mec1___log_phase_MMS_time_=_0_sample                      numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA                     numeric
@ATTRIBUTE pRS_ROX1_GAL_media                                               numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
-0.022,-0.15,0.159,-0.277,0.131,-0.157,-0.225,-0.107,-0.153,-0.037,0.094,-0.02,-0.093,0.225,0.215,-0.459,-0.276,-0.603,0.437,0.687,0.118,0.155,-0.114,0.285,0.135,-0.347,14/04@16/02@20/09/03
0.102,0.172,-0.241,-0.065,0.101,0.006,-0.11,-0.393,-0.535,-0.307,-0.062,-0.507,-0.658,0.057,-0.395,-0.182,-0.304,-0.071,0.222,-0.158,-0.438,-0.045,0.813,-0.441,-0.185,0.074,01/04@14/07/03@16/17/07@16/17/09@32/01/11
0.088,0.615,-0.03,0.226,0.065,?,?,?,0.459,0.237,0.204,-0.08,0.435,0.723,0.495,?,0.568,?,-0.135,0.959,0.874,1.286,0.503,-0.755,0.333,0.723,99
0.05,0.528,0.619,0.022,0.181,0.432,0.322,0.2,0.356,-0.25,0.4,-1.079,-1.223,-0.313,-0.643,-0.382,-0.008,-0.556,0.639,1.351,0.482,1.513,-0.064,0.153,0.697,-0.003,01/06/02/01
0.04,0.179,-0.173,-0.059,0.052,0.308,0.204,0.115,0.222,-0.41,-0.264,-0.422,-0.273,-0.458,-0.378,0.038,-0.243,-0.113,0.391,-0.365,-0.345,-0.095,0.126,0.225,0.33,0.015,01/06/02/01@01/06/10@11/02/03/01@11/02/03/04@18/02/09
?,0.596,0.3,0.465,0.487,0.742,0.373,0.682,0.726,0.325,0.561,-0.221,0.503,0.157,-0.071,0.644,0.432,-0.049,0.318,0.429,0.904,1.265,-0.176,0.08,-0.761,0.64,01/06/02/01
0.072,0.041,-0.091,-0.388,-0.082,-0.335,-0.278,-0.377,-0.098,0,?,0.665,0.224,0.484,0.454,-0.305,-0.336,-0.2,-0.044,0.529,0.363,?,-0.181,0.02,-0.108,?,01/06/02/01
0.07,0.246,0.31,0.175,0.059,0.242,0.07,0.1,0.258,0.3,-0.248,-0.216,-0.398,0.1,0.156,-0.193,0.289,-0.402,-0.473,0.78,0.084,0.68,-0.127,0.162,-0.464,?,01/06/02/01
?,0.139,0.788,0.003,0.425,0.103,0.169,0.168,0,0.408,0.034,-0.062,-0.022,-0.332,0.026,-0.219,-0.321,-0.053,-0.031,0.172,0.76,1.324,-0.028,0.24,0.373,0.066,14/04
0.02,-0.04,-0.18,-0.27,-0.14,-0.24,0.07,-0.06,0,-0.13,0.7,0.29,0.19,1.37,0.1,-0.65,0.129,-0.133,0.231,-0.17,0.287,?,0.15,-0.01,0.17,-0.03,42/10
0.291,-0.088,-0.018,-0.122,-0.139,-0.209,-0.164,-0.232,-0.087,-0.175,-0.732,-0.498,-0.59,-0.125,-0.254,-0.219,-0.682,-0.239,0.314,-0.813,-0.435,-0.109,-0.055,0.082,-0.225,-0.215,01/01/05/01/01@01/07/01@01/20/17/03@01/20/23@32/07@40/01@43/01/03/09
-0.277,-0.103,-0.079,-0.905,0.057,-0.538,-0.553,-0.291,-0.346,-0.537,-0.039,-0.289,-0.54,1.027,0.802,-0.645,?,-0.759,0.455,-0.692,-0.636,?,-0.063,0.147,0.557,-0.331,01/04@10/03/01/01/03@14/07/03@20/01/11@20/09@34/01@34/11/12
0.18,0.119,-0.02,-0.482,-0.05,-0.102,-0.42,-0.392,-0.078,0.009,-0.427,-0.374,-0.36,-0.437,0.187,0.342,0.237,0.383,0.666,-0.34,-0.78,-0.943,-0.047,0.112,0.092,-0.024,01/01/03/03/01
0.227,0.508,0.078,0.384,0.471,0.896,0.837,0.363,0.283,0.508,-0.393,-0.08,-0.43,0.456,0.089,0.266,0.251,-0.14,0.006,-0.476,-0.735,-0.145,-0.005,0.223,0.91,-0.112,01/01/03/03/01@01/05
-0.158,0.84,0.84,0.59,0.82,0.94,0.84,0.9,0.89,0.861,0.32,-0.16,0.16,-0.271,-0.223,0.4,0.38,0.23,-0.602,0.798,0.097,?,-0.12,0.176,-0.146,0.621,14/07/11@14/13/01/01@16/01@32/01
0.294,0.836,1.143,0.473,0.609,0.962,0.708,0.607,?,1.172,0.266,-0.267,-0.312,-0.576,-0.361,0.552,0.383,0.12,-0.2,0.625,-0.512,?,-0.096,0.288,0.122,-0.103,10/03/01@10/03/02@14/07/11@14/13/01/01@16/01@16/19/03@32/01@43/01/03/09
-0.089,0.914,1.44,0.633,0.733,0.933,0.901,0.796,0.911,0.814,0.874,-0.027,-0.259,-0.23,-0.628,0.346,0.073,0.073,0.254,0.873,-0.162,-0.125,-0.295,0.03,0.105,0.496,14/07/11@14/13/01/01@16/01@32/01
0.406,1.164,1.307,0.747,0.954,1.15,1.099,0.92,1.052,0.776,0.587,0.011,0.51,-0.338,-0.249,0.66,0.573,0.53,-0.545,0.557,-0.151,0.075,-0.074,0.078,0.345,0.518,10/03/02@14/07/11@14/13/01/01@16/01@32/01@43/01/03/09
?,1.341,?,0.63,0.577,0.832,0.794,0.827,?,0.902,0.661,0.094,-0.462,0.206,0.313,?,?,0.163,-0.125,?,?,0.622,0.649,-0.539,0.125,0.708,14/07/11@14/13/01/01@16/01@16/07@18/01/07@18/02/01@32/01
0.183,0.495,0.513,0.504,0.621,0.9,0.815,0.65,1.038,0.767,0.056,-0.651,-0.483,-0.685,-0.542,0.349,0.201,0.037,-1.637,0.936,0.781,?,0.68,-0.482,-0.239,0.191,14/13/01/01@16/07
0.424,0.995,0.671,0.701,0.649,1.345,1.094,0.894,0.983,1.002,0.837,-0.246,-0.28,-0.614,-0.334,0.414,0.029,0.397,-0.469,0.516,-0.218,-0.114,-0.112,0.176,1.631,0.144,01/04@10/01/05/01@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
-0.04,0.477,1.797,-0.166,0.645,0.553,0.609,0.766,?,0.93,1.401,1.452,1.34,0.993,0.665,-0.024,0.031,-0.071,0.851,1.342,0.009,-2.737,-0.106,0.104,-0.373,0.963,14/07/11@14/13/01
-0.12,0.34,0.23,-0.203,-0.03,-0.01,0.02,-0.07,-0.08,-0.13,0.11,-0.12,0.309,0.038,0.28,-0.13,-0.48,-0.24,0.25,-0.65,-0.35,-0.139,-0.3,-0.06,-0.29,0.42,01/04@02/13@10/03/03@14/10@14/13@16/17/09@16/19/03@20/01/10@20/09/04@20/09/14@32/01@34/07@42/16
0.26,0.98,1.07,0.07,0.45,0.84,0.51,0.41,0.51,0.579,0.367,-0.085,0.024,0.804,0.673,0.191,0.008,-0.213,0.627,0.97,-0.126,0.147,0.055,0.097,1.499,0.314,14/07/11@14/13/01@16/17/09
0.18,1.58,?,?,?,?,?,?,?,0.195,-0.066,-0.253,-0.107,-0.729,-0.478,0.068,0.084,-0.102,-1.3,?,0.834,1.091,?,-0.438,-0.387,0.091,11/02/03/04@12/01/01@12/04@14/04@14/07/05@14/07/07@14/13/01/01@16/01@16/17/09@32/01@40/01
0.166,0.93,0.25,0.69,1,0.77,0.98,0.76,0.82,0.816,0.026,-0.704,-0.543,-0.38,-0.49,0.484,0.319,-0.021,-0.936,0.33,0.953,1.569,0.936,-0.735,0.073,0.51,10/03/01/01/09@11/02/03/04/01@14/13/01/01@40/01@42/04@43/01/03/05
0.285,1.039,1.208,0.644,0.651,1.123,1.021,0.955,0.992,0.929,0.658,0.013,0.024,-0.217,-0.16,0.459,0.249,-0.204,-0.141,1.15,-0.08,0.08,-0.097,0.145,-0.168,0.287,01/04@10/01/05/01@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
0.056,0.043,-0.078,0.226,-0.137,0.318,0.411,0.161,0.368,0.06,-0.02,-0.096,-0.378,-0.232,-0.383,0.317,-0.052,0.012,?,0.127,0.695,0.589,-0.387,-0.819,-0.028,-0.611,01/01/13@01/05/25@10/01/03@10/03/01@14/07@14/13/01
0.07,0.69,0.85,0.35,0.61,0.97,0.74,0.66,0.83,0.68,0.36,-0.24,-0.23,-0.09,0.03,0.25,0.27,0.11,-0.58,0.54,0.11,0.5,0.82,-0.64,0.3,-0.29,10/01/05/01@10/03/01/01@10/03/03@11/02/03/04@14/07/05@14/07/07@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@30/01/05/01/04@32/01/07@32/01/09@34/11/03/07@40/01/05@42/04/05@43/01/03/09
-0.1,0.421,0.41,0.252,0.309,0.311,0.169,0.294,0.239,?,-0.128,-0.143,0.115,-0.284,-0.116,-0.029,0.052,0.081,-0.818,1.289,-0.402,-0.529,-0.126,0.251,0.303,0.614,10/01/03@10/01/05/01@10/03/01/01/09@10/03/01/01/11@14/07/05@14/07/07@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@32/01/07@32/01/09@34/11/03/07@42/04/05@43/01/03/09
0.021,0.55,0.46,-0.211,-0.038,0.256,0.399,0.175,0.222,-0.115,0.442,-0.15,-0.188,0.198,0.495,-0.023,-0.097,-0.103,0.455,1.336,0.689,0.978,0.678,-0.733,-0.208,0.177,10/01/11@14/07/05@14/07/11@14/13/01@20/09/18/09/01@34/11/03/13@42/25@43/01/03/09
0.374,0.97,0.6,0.15,0.17,0.53,0.73,0.47,0.38,0.57,0.43,0.36,-0.12,0.72,0.28,0.47,0.11,0.09,0.09,1.43,0.53,1.45,-0.31,0.05,-0.54,0.434,14/07/05@14/13/01
-0.536,-0.28,?,-0.725,-0.474,-0.543,-0.407,-0.547,-0.13,-0.348,-0.404,-0.7,-0.478,0.025,-0.343,-0.633,-0.384,0.064,0.592,-1.266,-0.52,-1.118,-0.152,0.104,0.134,-0.706,14/01@16/01
0.07,0.34,-0.02,0.432,-0.01,0.31,0.36,0.26,0.1,0.31,0.61,-0.12,0.02,-0.12,-0.14,0.584,0.26,-0.085,-1.18,0.21,-0.517,-0.21,-0.33,0.03,0.551,0.02,14/01@14/10@14/13@16/01@16/19/03@32/01/05@32/01/07
-0.062,0.187,0.254,0.218,0.482,0.176,0.304,0.357,0.352,0.385,0.025,-0.138,0.377,-0.516,0.103,0.594,-0.013,0.198,0.589,0.247,-0.117,-0.168,-0.168,0.185,0.118,-0.269,01/07@02/13/03@14/01@16/01
0.872,1.343,0.496,0.699,0.781,0.992,1.057,0.598,0.747,0.612,-0.525,-0.034,-0.294,0.645,?,0.086,0.108,0.216,-0.571,1.959,-0.014,0.948,-0.091,0.253,-0.139,0.244,14/01@14/07/03@14/10@16/01@18/02/01/02@32/01/07@40/01
0.13,0.242,0.256,0.366,0.318,0.637,0.608,0.636,0.469,0.3,-0.221,-0.589,-0.587,0.621,0.352,0.403,-0.037,-0.12,0.228,-0.087,-0.339,-0.368,-0.003,0.098,-0.104,-0.004,14/01@14/04@14/13/01@16/01@16/19/03@32/01
0.417,0.57,0.179,0.391,0.588,0.433,0.201,0.107,?,0.426,-0.529,-0.257,-0.201,-0.534,0.082,0.256,0.689,0.76,-1.961,2.514,-0.706,?,-0.101,0.15,-0.171,0.084,14/01@14/04@14/07/04@16/01@16/17/07@16/19/03@32/01/05@32/01/07@42/16
0.139,0.122,0.702,0.071,0.211,0.323,0.103,0.321,0.474,0.41,-0.001,-0.294,-0.203,0.043,0.192,0.389,0.27,0.406,-0.041,0.547,0.371,0.18,0.771,-0.652,0.16,0.144,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@30/05@32/01/11@36/20/18@40/01/03@40/10/02
0.124,-0.07,-0.164,0.509,0.182,0.709,0.946,0.408,0.448,0.503,-0.024,0.486,0.247,0.145,-0.21,0.678,0.095,0.282,-0.988,-0.301,-0.047,?,-0.119,0.106,-0.182,0.022,14/01
0.242,0.241,0.14,0.1,-0.103,0.107,0.054,0.003,0.402,0.271,0.135,-0.147,0.345,0.239,0.09,0.163,0.318,0.165,-1.101,0.56,-0.257,-0.097,-0.233,0.127,-0.175,0.281,14/01
0.11,-0.127,-0.045,0.263,0.265,0.495,0.349,0.363,0.327,0.17,-0.16,-0.07,0.154,-0.638,-0.492,-0.014,0.164,0.283,-1.818,0.096,0.113,0.383,-0.157,0.122,-0.034,-0.3,14/01@16/01@32/01/07@42/04
0.268,0.8,0.55,-0.22,0.63,0.48,0.24,0.34,0.55,0.795,0.496,0.179,0.093,0.181,0.473,-1.12,-0.793,-0.119,0.6,0.77,-0.759,0.01,?,0.273,0.351,0.571,14/01@14/07@20/01/13
0.028,0.1,-0.574,0.225,-0.185,-0.242,-0.207,-0.742,-0.461,-0.631,0.317,-0.206,0.547,0.193,0.26,0.46,0.249,-0.234,-0.05,-1.115,-0.232,0.201,-0.27,-0.029,-0.36,0.863,01/05@14/07/02/01@14/07/02/02
-0.12,-0.112,-0.01,-0.32,0.05,-0.18,-0.45,-0.1,-0.07,0.15,0.31,0.11,0.46,-0.21,-0.23,-0.17,0.07,0.28,0.41,-0.08,0.734,-0.48,-0.14,0.02,-1.273,0.12,01/06/06@14/07/02@42/01
0.297,0.08,-0.39,-0.17,-0.23,-0.24,-0.13,-0.26,0.02,-0.04,0.26,0.21,0.49,0.5,-0.36,-0.18,0.24,-0.06,0.72,-0.35,-0.14,?,0,-0.09,1.19,0.2,01/05/02@14/07/02/01@16/17/07
-0.19,0.07,?,-0.26,0.03,-0.44,-0.26,-0.13,-0.06,-0.276,0,-0.05,-0.69,-0.03,0.23,-0.566,-0.014,-0.11,-0.26,-0.132,-0.19,-0.93,0.37,-0.48,-0.014,-0.05,01/05@14/07/02/01
0.089,-0.283,-0.54,0.382,-0.036,0.328,0.398,0.224,0.316,0.037,-0.077,-0.496,-0.745,-0.498,-0.146,0.299,0.022,0.196,-0.422,-0.356,-0.336,-0.664,-0.085,0.019,-0.154,0.105,01/05@14/07/02/02@42/01
-0.007,-0.207,0.103,0.038,-0.322,0.112,0.163,0.079,0.392,0.368,-0.092,0.38,0.115,0.009,0.086,-0.308,0.089,-0.055,-0.676,0.846,-0.27,0.175,-0.067,0.085,-0.366,?,14/07/02/02
0.11,-0.282,-0.253,-0.23,-0.327,-0.079,0.046,-0.168,-0.165,0.03,-0.39,-0.199,-0.17,0.01,-0.019,-0.237,-0.124,-0.303,0.178,-0.112,-0.322,-0.42,-0.048,0.044,-0.042,0.023,01/05@14/07/02/02@42/01
-0.01,-0.385,-0.149,0.183,-0.113,0.242,0.271,0.224,0.18,0.09,-0.408,-0.173,-0.287,-0.13,0.022,0.33,0.301,0.196,-0.271,-0.17,-0.503,-0.513,-0.072,0.204,0.012,0.02,01/05@14/07/02/02@40/01@42/01@43/01/03/05
-0.108,-1.11,-0.97,0.27,0.46,0.08,0.29,0.29,0.1,0.102,-0.165,0.05,-0.311,0.332,-0.269,0.541,0.292,-0.265,-0.025,-0.48,0.205,?,-0.048,0.092,0.508,-0.04,11/04/01@14/07@16/03/03@40/01
-0.046,-0.2,-0.05,0.06,-0.16,-0.14,-0.11,0.14,0.17,0.2,-0.086,0.278,0.206,0.824,0.834,-0.271,-0.032,-0.239,0.544,0.16,-0.116,?,-0.109,0.11,0.506,0.257,01/03/04@01/04@01/05/02@01/05/03@01/05/09/04@01/06@10/03/01@14/07/02/02
0.089,0.309,0.221,-0.398,-0.068,-0.101,-0.393,0,-0.012,-0.585,0.306,0.096,0.23,-1.205,-0.182,-0.256,-0.344,-0.018,1.156,-1.241,?,-0.946,0.042,0.321,0.718,0.192,01/06@14/07/02/02@20/01/03/01@20/01/17@20/09/07
0,0.232,0.221,0.323,0.341,0.343,0.302,0.192,?,0.462,0.563,-0.567,-0.417,-0.745,-0.493,0.285,-0.015,-0.111,-0.228,-0.027,-0.423,?,-0.188,0.144,0.277,-0.232,99
0.086,0.375,-0.061,-0.048,0.265,0.357,0.091,0.269,0.162,0.311,-0.013,-0.255,-0.114,-0.006,0.191,-0.274,0.053,-0.303,0.1,0.115,-0.549,-0.424,-0.085,0.237,0.123,-0.149,01/06/06@14/07/01@16/17/09@30/01
0.005,-0.106,-0.24,0.112,0.187,0.15,0.181,0.133,0.169,0.166,-0.351,-0.243,-0.583,0.663,0.293,-0.273,-0.129,-0.308,0.1,0.311,0.3,-0.428,-0.222,0.059,0.348,0.089,01/06@14/07@20/09/18
-0.52,-0.24,-0.18,-0.83,-0.42,-0.97,-0.92,-0.8,-0.55,-0.63,-0.175,-0.16,-0.22,-0.1,0.12,-1.19,-0.61,0.02,0.08,-1.66,?,?,-0.06,0.008,0.231,-0.82,01/03/13@01/05/25@14/04@14/07/01@30/01/05/05/01@34/11/12
?,0.057,0.448,0.038,0.168,0.127,-0.11,0.073,-0.465,?,0.015,-0.281,-0.412,-1.01,-0.681,-0.347,0.243,-0.166,0.504,-2.778,?,?,-0.104,0.277,0.242,-0.087,14/04@14/07/11@20/09/04
-0.174,-0.333,-0.162,-0.207,-0.164,-0.102,-0.211,-0.271,-0.327,-0.121,-0.643,-0.129,-0.162,-0.258,-0.363,0.044,-0.103,-0.434,-0.623,-0.041,-0.025,?,-0.144,0.156,-0.432,-0.275,01/05@01/06/02/01@01/06/02/02@14/07/01@16/01@42/01
-0.096,0.166,0.067,0.073,0.083,0.291,0.364,0.285,0.286,0.046,0.165,0.174,0.108,0.813,0.504,?,0.134,0.13,0.454,-0.346,0.268,0.744,0.588,-0.182,0.053,0.547,01/06@14/07/04
0.11,0.11,-0.1,-0.15,-0.37,-0.05,-0.05,-0.18,-0.02,0.049,-0.2,-0.26,-0.39,0.62,-0.02,-0.06,0.03,-0.22,0.25,-0.12,-0.33,-0.18,0.07,0.07,?,-0.19,01/06@14/07@20/01/10@30/01/05/05/01@40/01@42/04@43/01/03/05
?,0.134,0.417,-0.228,-0.186,-0.272,-0.216,-0.359,-0.066,?,0.125,-0.091,-0.846,-0.413,-0.161,-0.094,-0.358,-0.035,0.089,-0.298,-0.164,-0.893,0.044,0.063,0.3,0.419,14/04@14/13@20/09/04@42/16
