@RELATION 'derisi0.names'

@ATTRIBUTE r1                                      numeric
@ATTRIBUTE g6                                      numeric
@ATTRIBUTE r6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE r7                                      numeric
@ATTRIBUTE g3_ratio                                numeric
@ATTRIBUTE g4_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE r6_ratio                                numeric
@ATTRIBUTE r7_ratio                                numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r1dashbkg                               numeric
@ATTRIBUTE r5dashbkg                               numeric
@ATTRIBUTE r6dashbkg                               numeric
@ATTRIBUTE r7dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
6392,4891,4330,4798,3030,0.69,1.13,1.62,1.45,1.04,0.62,3975,5374,3599,2890,2451,02/45@16/21/05@20/01/15
3562,4192,4099,3458,3038,0.69,0.97,1.05,1.45,1.3,0.95,2302,2334,1438,2233,2198,02/10@14/04@14/07
4515,4729,4287,3319,2138,0.96,1.15,1.62,1.04,1.11,0.62,2459,3532,2693,2811,1521,01/03/01@01/03/10@01/04
19166,21714,8009,15422,4017,0.79,1.23,4.3,1.27,0.34,0.23,14443,18135,11631,6537,3360,11/04/01@12/01/01@12/04@16/01@16/03/03
5925,5850,3100,4242,1836,1.64,2.23,2.97,0.61,0.44,0.34,3074,4685,1610,1440,1034,10/03/01@11/02/03/04@30/01@32/01/01@32/01/03@40/01
2415,3630,3050,1982,1500,1.18,1.11,1.27,0.85,1.22,0.79,878,1131,1060,1401,689,01/05/02@16/01
11898,9353,8688,6977,4714,0.67,0.88,1.56,1.49,1.02,0.64,5701,10681,8073,7035,3660,32/01
3401,3684,2622,2481,1614,1.15,1.39,1.64,0.87,0.67,0.61,1514,2229,985,973,923,01/01/09/07/01
4635,4912,3052,2971,1912,0.9,1.06,1.72,1.11,0.54,0.58,1881,3374,3777,1362,1093,34/11/03/07
6903,6588,4956,4138,3327,0.98,1.19,1.23,1.02,0.75,0.81,3235,5697,2649,3370,2633,10/03/03@16/01@20/09/07/27@20/09/16/09/03@43/01/03/05
2272,3046,2541,1773,1513,1.16,1.24,1.04,0.86,1.01,0.96,888,1181,703,894,857,99
4774,4902,3497,4391,2778,1.07,1.2,1.65,0.93,0.74,0.61,3444,3781,2627,2063,2086,01/05@14/07/02/02@42/01
7760,6487,3849,6429,2638,1.08,1,2.85,0.93,0.5,0.35,5247,6575,4302,1983,1838,01/01/03/02/01@01/01/06/06/01/03@01/01/11/02/01@01/01/11/03/01@01/01/11/04/01@01/05/02/04@01/05/02/07@02/01@02/10@16/21/07@20/01/15
2304,3318,4182,2110,1910,0.74,0.86,0.9,1.35,3.13,1.11,934,1149,941,2233,1038,01/07@14/10
16966,16643,15104,18060,16274,1.07,1.2,1.1,0.93,0.94,0.91,17164,15985,11029,13644,15625,42/04/03
4233,4587,3270,3519,2644,1.4,1.34,1.27,0.71,0.8,0.79,2328,2980,1780,1860,1840,01/04@10/03/01@11/02/03/04@14/07/03@16/01@16/17/09@18/02/01/01/05
2270,2970,8384,1755,2619,0.63,0.47,0.47,1.59,7.69,2.13,910,1295,3310,6941,1932,02/11@02/13/01@02/13/03@20/01/15@20/03
1798,2920,5243,1521,2333,1.23,0.97,0.41,0.81,5.26,2.44,696,771,1050,3777,1709,01/04@14/07/03@18/01/01@30/01/05/01/03@32/01@42/01
3118,3924,2924,2133,1895,0.84,1.08,1.06,1.19,0.79,0.94,1353,2174,1463,1406,1275,12/01@16/07@20/01/21@20/09/01@42/10/05
2857,4032,3656,3102,2314,0.73,0.99,1.35,1.37,1.18,0.74,1930,1704,885,1848,1430,01/01/09/07/01
2182,2839,3123,1590,1957,0.63,0.64,0.6,1.59,2.17,1.67,815,1217,1470,1485,1354,01/05/25@01/07/01@30/01/05/05/01@34/11/12
3910,5260,4420,2990,2078,0.58,0.92,1.47,1.72,0.89,0.68,2206,2981,3848,2770,1496,01/05/02/07@01/05/03@10/03/01@32/01@40/10@40/20@42/04/05@42/16
5442,5322,10294,2957,17905,0.77,0.92,0.13,1.3,2.7,7.69,2162,4520,4644,8517,17237,01/05/02/04@01/05/02/07@02/01@02/10@16/21/11
2724,4032,4368,1882,2165,0.93,1.07,0.73,1.08,1.35,1.37,1134,1777,1985,2653,1556,10/01/02@10/01/05/01@11/02/03/01/01@11/02/03/04/01@16/01@16/03/01@16/19/03@18/01/07@18/02/01
2697,3158,3201,2283,2144,0.99,1.3,0.88,1.01,1.82,1.14,1211,1473,353,1475,1370,10/03/04/05@42/04/05
1715,3614,2876,1611,1603,1.17,1.18,0.83,0.85,0.93,1.2,844,845,1158,1451,1012,01/05/02/07@01/06/02/01@02/01@02/13@16/13@16/17/01@16/21/05@20/01/15@30/01@30/05/01/12/05@42/16
3270,3706,10707,3326,6747,0.58,0.77,0.39,1.72,6.67,2.56,2279,2033,790,8810,5857,01/05/02/04@01/05/02/07
13232,12010,8599,10516,7249,1.16,1.28,1.46,0.86,0.72,0.68,9449,12136,4707,7105,6454,10/03/03@14/10@16/01@20/09/18/09/01@42/04/03@43/01/03/05
2146,2904,2586,2099,1633,0.91,1.26,1.18,1.1,1.08,0.85,1103,1089,1082,1264,932,10/01/03/03@10/01/03/05@10/03/02@11/02@16/01@16/03/01
2913,3797,2869,2127,1475,1.34,1.31,1.5,0.75,0.88,0.67,905,1647,1205,1093,605,01/05@34/07/01@43/01/03/05
6412,8218,4505,3010,1581,1.32,1.46,2.18,0.76,0.53,0.46,2122,5150,2179,3230,975,01/01/13@01/02/07@01/03/13@11/02/03/01@11/02/03/04
1559,3035,2859,1768,1773,0.8,1.12,0.77,1.25,1.59,1.3,831,567,639,1412,1086,10/03/01
1615,3010,2796,1717,1807,0.8,1.09,0.73,1.25,1.54,1.37,776,651,610,1342,1062,01/02/07@42/01
1872,4580,4021,1995,1715,0.62,1.42,0.97,1.61,1.14,1.03,1097,754,725,2803,1129,01/02/02/09@01/03/01@01/05@02/01@02/45
3387,3457,6739,2594,5909,0.57,0.63,0.33,1.75,3.85,3.03,1706,2201,1797,4947,5223,01/07@32/01/01@32/07/03@32/07/07/03
1891,3290,5179,1654,3107,0.65,0.5,0.25,1.54,3.85,4,596,677,1106,3416,2343,14/07/11@14/13/01
4482,4257,3423,3330,2293,0.92,0.95,1.46,1.09,0.86,0.68,2203,3222,1963,1513,1505,10/03/01/03
5934,3742,2809,4093,2323,0.64,0.99,1.9,1.56,0.8,0.53,3188,4825,1329,1233,1675,14/01@14/04@14/13/01@16/01@16/19/03@32/01
3273,3558,3992,2423,2108,1.01,1.23,1.09,0.99,1.72,0.92,1595,2256,1111,2437,1466,14/04@20/09/07/06@20/09/18/09/01@42/09
2124,4051,3631,2023,1498,0.85,1.35,1.22,1.18,1.28,0.82,997,991,622,2124,818,11/06/02
5591,5077,5767,4233,4428,0.78,1.05,0.86,1.28,1.59,1.16,3018,4358,3012,3799,3506,42/01@42/04/05
10264,8961,4337,5968,2440,1.1,1.77,2.84,0.91,0.44,0.35,4862,9000,3663,2878,1714,10/01/02@10/01/05/01@10/01/05/03@11/02@11/04/01@11/04/03/01@16/01@16/03@16/19/03@20/01/21@20/09/01
4627,5606,4378,3774,2384,0.67,0.96,1.66,1.49,0.88,0.6,2774,3479,3717,2812,1674,34/11/03/07
2313,3756,6292,2027,3257,0.51,0.58,0.47,1.96,2.86,2.13,1236,1418,4676,4880,2631,34/11/03/07
16026,13088,6310,10491,3342,1.18,1.24,3.62,0.85,0.45,0.28,9330,14772,6700,4718,2574,10/03/01@10/03/04/05@16/03/03@20/01/21@34/11/03/07
2611,4179,2526,1736,1320,1.17,1.53,1.34,0.85,0.42,0.75,1004,1698,1559,882,751,01/04@10/03/01@14/07/03@30/01/05/01/03@32/01@34/11/12@40/01/03@43/01/03/05
2462,3576,4045,2390,2106,0.71,0.9,1.03,1.41,1.96,0.97,1379,1240,648,2104,1333,12/01/01@42/16
4042,5474,5189,2497,2030,1.08,1.59,1.2,0.93,1.1,0.83,1696,3124,2814,3801,1416,01/01/03/02@01/01/09/03@01/05/02@01/07/01@01/20/37/01@16/01@32/05/01/03/03@32/07@34/11/13/07
1894,2870,2969,1606,2126,1.03,0.91,0.4,0.97,1.69,2.5,532,751,896,1481,1328,12/04/02@16/19/05
3227,3836,2862,2568,1906,1,1.19,1.29,1,0.87,0.78,1561,2174,1530,1373,1212,20/01/01/01@20/09/18@34/01/01/01
4358,4893,3894,2254,1381,1,1.13,1.87,1,0.89,0.53,1190,3120,3365,2305,638,01/04@01/06/02/01@30/01/09/03@32/01
7462,7460,5333,5837,3495,1.15,1.34,2.46,0.87,0.76,0.41,3502,6283,4488,4050,1425,14/04@20/09/07/05@20/09/13@42/07
2765,4154,3491,2505,2175,1.03,1.29,1.07,0.97,1.08,0.93,1477,1637,1556,2201,1385,16/11@18/02/09@34/11/03@34/11/12
5208,5092,2602,4008,1755,1.05,1.06,2.87,0.95,0.42,0.35,3086,4196,3139,1214,1075,10/03/01/02@16/01@18/02/01/02/05@30/05@34/11/03/07@40/01@42/04@43/01/03/05
21825,15590,9517,11632,4444,0.88,0.95,2.82,1.14,0.6,0.35,10496,20481,12765,7823,3720,32/01@42/01@43/01/03/05
2122,3625,5490,1875,2684,0.86,0.48,0.45,1.16,3.33,2.22,853,920,1318,3620,1896,01/04@11/02/03/04@14/07/03@16/01@16/19/01@16/19/03@18/01/01@18/02/01@18/02/10@30/01/05/01/06@30/01/05/05/01@30/01/09/07@32/01/01@34/11/12@40/01/03/01@43/01/03/05
4796,4818,9470,2762,4098,0.88,0.77,0.52,1.14,3.33,1.92,1697,3547,3382,7413,3270,02/11@02/13/03@20/01/15@20/03
5133,3542,3242,3425,2816,0.63,0.91,1.17,1.59,1.16,0.85,2551,4004,1163,1703,2188,01/06/06/11
4172,3811,2697,3369,1974,1.12,1.26,1.93,0.89,0.76,0.52,2443,3129,2319,1271,1265,10/01/02@10/01/03/05@10/01/05/01@10/01/05/03@16/03/01
8322,4062,3887,11270,14870,1.1,1.58,0.75,0.91,1.41,1.33,6512,7150,1150,2509,8648,01/05/25@10/01/09/05@11/02/03/04@34/11/03/07
2873,3345,2691,2155,1683,0.9,1.14,1.2,1.11,1.02,0.83,1230,1845,1637,1242,1026,14/01@16/01@32/01/07@42/04
3097,3961,3470,9276,11503,1.14,1.39,0.7,0.88,1.22,1.43,6866,1990,1922,2012,9849,14/10@16/01@32/01/07
6189,6410,2942,4618,1510,1.28,1.5,4.2,0.78,0.32,0.24,3819,5127,2528,1349,910,12/01/01@12/04@16/01
35212,34108,13304,31402,6973,0.79,0.94,5.01,1.27,0.36,0.2,29760,33776,20453,11317,5935,12/01/01@12/04@16/01
3921,3558,2750,2433,1373,0.91,1.26,2.04,1.1,0.82,0.49,1620,2896,1429,1182,793,20/09/07
1685,3330,3372,1868,1568,0.96,1.29,1.02,1.04,1.96,0.98,748,507,391,1515,732,01/05/02/04@01/05/02/07@01/05/03@02/16@02/19
1955,2874,3144,1526,1727,1.25,1.44,0.61,0.8,2.27,1.64,686,927,1003,1794,1120,99
8514,6283,3736,5806,2326,0.93,1.77,2.91,1.08,0.52,0.34,5005,7560,2097,2116,1722,12/01/01@12/04/01@12/07@16/01@16/03/03@18/02/03@32/01
17771,12321,7917,11328,7130,1.05,1.17,1.71,0.95,0.64,0.58,8750,16628,15569,6289,5125,01/01/09/06/02@01/07/01
23377,16343,9550,17264,6953,1.07,1.39,2.8,0.93,0.57,0.36,15076,22169,17304,7899,5390,01/03/16@12/04/01@16/01@40/10/02
2846,3787,3019,1756,1316,0.95,1.24,1.33,1.05,0.93,0.75,710,1608,1834,1421,532,99
4346,3741,3538,2995,2714,0.84,1.02,1.02,1.19,1.22,0.98,2050,3103,1667,1792,2019,14/04@14/10@16/01@20/01/10@20/09/07/06@20/09/07/25@20/09/13@20/09/18/09/01@42/09
7271,8753,7392,5647,5617,1.12,1.13,0.94,0.89,0.9,1.06,4692,6207,4753,5867,4977,01/04@01/06@10/03/01/01/01@10/03/01/01/03@10/03/02@10/03/05/03@12/01@12/07@14/07/03@16/01@18/01/01@18/02/01@30/01/05/01@30/01/05/05/01@30/01/09/11@40/01@42/04
4659,5334,15656,3280,8490,0.61,0.51,0.31,1.64,4.55,3.23,2189,3473,8283,14284,7086,01/06/02/01
6627,6728,4692,4367,2255,1.03,1.14,2.14,0.97,0.75,0.47,3285,5406,4948,3384,1536,01/05@14/07/02/02@40/01@42/01@43/01/03/05
11063,8762,11302,5592,9865,0.81,0.78,0.49,1.23,1.45,2.04,4300,9790,17026,9647,8747,01/04@20/01/01/07/07@20/03/02/02@20/09/04@20/09/13@34/01/03/03
1941,3092,2807,1934,1885,0.92,1.34,0.85,1.09,1.47,1.18,1045,926,715,1432,1229,11/04/03/01@11/04/03/05@16/03/03
9812,5347,3447,6532,3327,0.46,0.86,2.09,2.17,0.6,0.48,5589,8671,2525,1917,2678,01/03/01@01/04@16/17/07
4242,3876,3934,3710,4831,0.66,1,0.67,1.52,1.47,1.49,2786,3292,3004,2518,4142,14/07/11@14/13/01@16/17/09@34/11/03/07@42/10/05@43/01/03
4392,5643,4139,3520,2599,1.1,1.12,1.33,0.91,0.76,0.75,2306,3167,1964,2206,1734,14/04@20/09/13@34/01/01/01
2992,6267,8549,2085,2927,0.93,0.85,0.54,1.08,1.69,1.85,1236,1983,1424,6891,2293,02/13/05@11/02/03/04@16/03/03@40/01/05/01
1778,3626,4172,2113,2246,0.81,0.9,0.69,1.23,2.08,1.45,986,619,1671,2316,1432,01/01/09/03@01/02
4827,5012,4021,3267,2633,1.29,1.49,1.21,0.78,0.85,0.83,2426,3746,1759,2383,1997,01/01@01/02
2518,3767,2731,2197,1517,1.29,1.45,1.45,0.78,0.94,0.69,1061,1352,1142,1228,730,42/10
10136,8403,7759,8007,4598,0.72,0.78,1.79,1.39,1.01,0.56,7129,9095,6603,6439,3989,01/01/06/04/01@01/01/06/05@01/01/06/06/01@01/01/09/02
25090,26268,9686,25509,4636,1.19,1.48,6.12,0.84,0.34,0.16,24617,23995,13604,8343,4025,11/04/01@12/01/01@12/04@16/01@16/03/03
8909,8301,6964,6171,5732,1.06,1.08,1.04,0.94,0.87,0.96,5237,7840,4184,5340,5019,99
2083,3339,3380,1875,1898,1,1.17,0.69,1,1.89,1.45,699,903,500,1616,1011,01/03/04@01/07/01@16/01
4109,4540,3414,3190,1757,1.22,1.23,2.16,0.82,0.76,0.46,2104,2891,956,1592,973,01/01/03/03/02@01/01/13@11/02/03/01@11/02/03/04
2994,3985,3032,2682,2000,0.96,1.46,1.31,1.04,0.76,0.76,1548,1855,610,1148,1180,12/01@40/01
1792,3112,14500,1887,7994,0.98,0.83,0.15,1.02,12.5,6.67,1115,895,1957,13068,7398,16/17@32/01/01@32/07/07/03@32/07/07/05
2361,3883,3562,2715,2044,0.63,1.4,1.23,1.59,1.33,0.81,1337,1266,1480,2054,1084,01/01/11@01/05/02/07@02/09@02/10@16/21/07
2801,3972,4396,1640,2011,1.18,1.33,0.66,0.85,1.47,1.52,940,1888,11271,2866,1430,99
3599,4256,2863,2342,1497,1.59,1.3,1.65,0.63,0.65,0.61,1118,2387,2796,1289,679,10/01/03/03@10/01/03/05@10/01/05/01@11/02@16/01@16/03/01@32/01/09
3356,3269,2608,2305,2221,0.77,1.01,0.93,1.3,0.89,1.08,1402,2201,1059,946,1513,11/02/03/04
3239,3788,3013,2664,2359,0.93,1.19,1.04,1.08,0.95,0.96,1736,2189,1337,1585,1675,11/02/03/04/03@14/07/04
6217,8387,4841,4080,1917,1.04,0.94,2.46,0.96,0.56,0.41,2514,5001,4865,3468,1021,14/01@14/04@16/01@20/01/10@32/01/07
9179,9188,5969,7044,4339,1.05,1.2,1.67,0.95,0.65,0.6,6113,8173,3307,4496,3656,11/04/03/01@16/03/03
3021,3491,2209,2634,1105,0.97,2.19,3.71,1.03,0.61,0.27,1742,1995,1015,774,470,10/01/02@10/01/05/01@10/01/05/03@11/02/03@11/04/01@11/04/03/01@12/01@12/04@16/03/03@16/19/03
8868,9363,5832,10256,8093,0.82,1.48,1.13,1.22,0.63,0.88,5964,7725,5820,4325,5259,01/01/03/01@01/01/03/02@01/02/02@01/05/02@01/05/03/03/04@01/05/09@02/19@16/13/01@34/11/03/07@42/01
2570,4287,4122,2595,2493,0.91,1.35,0.86,1.1,1.35,1.16,1358,1344,740,2250,1574,18/02/01@32/05/01
3133,4539,4801,3346,2967,0.92,0.91,1.04,1.09,1.49,0.96,2101,1919,977,2869,2019,01/06
4355,3894,4626,3147,3125,0.75,1,0.91,1.33,1.75,1.1,2303,3377,3074,3292,2528,01/04@10/01/05/01@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
1852,3607,4489,5288,8082,0.86,1.16,0.59,1.16,2.17,1.69,3835,721,1772,2963,6502,20/01/07@20/09/13
7869,6938,3819,5035,2268,1.14,1.22,2.8,0.88,0.46,0.36,3623,6609,1988,1953,1296,12/01/01@12/04@16/01@16/17/09
27415,18732,21476,17119,14889,0.83,0.97,1.19,1.2,1.22,0.84,15437,26131,7905,19469,12987,20/01/10@32/01@42/01@43/01/03/05
3791,4101,3420,4006,2489,0.76,1.01,1.75,1.32,1.08,0.57,2286,2634,3229,1859,1309,20/01/11@20/09/07/05
4280,4615,3532,3963,3066,0.76,1.14,1.27,1.32,0.89,0.79,2203,3106,2698,1898,1740,14/04@20/01/10@20/09/07@20/09/13
3230,3899,4166,2788,2950,1.01,1.08,0.81,0.99,1.59,1.23,1660,1989,990,2257,2061,99
1663,3139,2697,1564,1120,1.09,1.44,1.29,0.92,1.37,0.78,456,552,464,1176,354,01/04@10/03/01/01/03@14/07/03@20/01/11@20/09@34/01@34/11/12
4802,7068,6417,3280,2692,1.11,1.3,1.21,0.9,0.97,0.83,2561,3889,5633,4841,2122,01/04@01/06@10/03/01/01/01@10/03/01/01/03@10/03/02@10/03/05/03@12/01@12/07@14/07/03@16/01@18/01/01@18/02/01@30/01/05/01@30/01/05/05/01@30/01/09/11@40/01@42/04
5859,7966,5507,4188,2945,1.03,1.34,1.47,0.97,0.71,0.68,2540,4620,3499,3970,1727,01/03/04@20/01/15
1505,3439,17503,2255,22046,0.97,1.26,0.07,1.03,11.11,14.29,1524,681,2049,15947,21434,20/01/03/03
2744,4693,6030,2104,2032,1,1.24,0.96,1,1.82,1.04,988,1562,1920,4711,1031,01/01/06/04/01@01/01/06/04/02@01/01/09/01/01@01/01/09/01/02@01/01/09/02/01@01/01/09/02/02@01/01/11/07@01/20/27@16/21/17
1930,3101,2396,1622,1295,1.24,1.1,1.16,0.81,1.03,0.86,695,871,753,932,599,20/01/03@20/03
2910,4279,3742,2327,1972,1.05,1.11,1.1,0.95,1,0.91,1478,1768,1336,2154,1341,12/01/01@42/16
3322,4677,5427,2575,3322,0.84,0.88,0.62,1.19,1.59,1.61,1565,2122,2272,3853,2510,01/06/05@02/25@42/01
5314,3697,2432,3376,1461,0.99,1.08,2.96,1.01,0.58,0.34,2485,4083,1448,892,840,12/04/01@18/02/03
4202,5234,3527,3134,1950,1.07,1.35,1.66,0.93,0.68,0.6,2001,3026,1950,1914,1208,01/05/03/03/04@20/09/07@42/01
4330,3935,4000,2383,5393,0.83,0.92,0.32,1.2,1.41,3.13,1510,3310,3113,2595,4712,02/13/03@10/03/02
3841,4752,3246,4968,6039,0.85,1.11,0.7,1.18,0.74,1.43,3381,2643,2291,1810,4799,10/03/01@42/29@43/01/03/05
1879,2824,3803,1490,3641,0.77,0.85,0.21,1.3,3.13,4.76,643,851,844,2264,3000,42/01
2786,2854,2417,1690,1362,0.79,0.9,1.17,1.27,1.15,0.85,887,1779,1088,881,755,12/04
