@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
1.519,1.68,-0.51,0.553,1.712,1.401,0.711,0.564,1.342,1.882,1.924,?,-0.403,14/07/11@14/13/01
0.23,0.24,-0.11,-0.01,-0.61,0.11,0.23,0.334,-0.65,-0.65,-0.4,0.07,-0.23,01/04@02/13@10/03/03@14/10@14/13@16/17/09@16/19/03@20/01/10@20/09/04@20/09/14@32/01@34/07@42/16
1.02,1.16,-0.135,0.84,0.404,0.367,0.282,0.469,0.97,0.95,0.68,-0.075,-0.248,14/07/11@14/13/01@16/17/09
?,-1.322,0.457,?,0.102,-0.066,-0.321,-0.735,?,?,?,-0.518,0.008,11/02/03/04@12/01/01@12/04@14/04@14/07/05@14/07/07@14/13/01/01@16/01@16/17/09@32/01@40/01
0.48,0.21,0.661,0.77,0.287,0.026,0.609,0.116,0.33,2.017,0.46,-0.563,-0.282,10/03/01/01/09@11/02/03/04/01@14/13/01/01@40/01@42/04@43/01/03/05
0.928,1.135,0.641,1.123,0.686,0.658,0.114,-0.053,1.15,0.349,0.39,-0.007,-0.17,01/04@10/01/05/01@10/03/01@11/02/03/04@14/07/11@14/13/01/01@16/01@16/19/03@18/01/07@18/02/01@18/02/09@32/01
-0.009,0.007,0.499,0.318,0.352,-0.02,-0.027,0.055,0.127,0.292,?,-0.071,-0.068,01/01/13@01/05/25@10/01/03@10/03/01@14/07@14/13/01
0.82,0.84,0.14,0.97,0.36,0.36,-0.23,-0.61,0.54,0.45,-0.01,-0.33,-0.24,10/01/05/01@10/03/01/01@10/03/03@11/02/03/04@14/07/05@14/07/07@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@30/01/05/01/04@32/01/07@32/01/09@34/11/03/07@40/01/05@42/04/05@43/01/03/09
0.394,-0.007,?,0.311,-0.158,-0.128,-0.085,-0.579,1.289,1.212,1.092,-0.376,0.023,10/01/03@10/01/05/01@10/03/01/01/09@10/03/01/01/11@14/07/05@14/07/07@14/10@14/13/01/01@16/01@16/19/03@20/09/13@20/09/18/09/01@32/01/07@32/01/09@34/11/03/07@42/04/05@43/01/03/09
0.522,0.372,-0.278,0.256,0.144,0.442,0.327,0.143,1.336,1.736,0.908,-0.094,-0.022,10/01/11@14/07/05@14/07/11@14/13/01@20/09/18/09/01@34/11/03/13@42/25@43/01/03/09
0.67,0.626,0.31,0.53,1.04,0.43,0.54,0.69,1.43,1.49,0.57,?,-0.18,14/07/05@14/13/01
-0.052,0.052,0.262,-0.543,0.133,-0.404,-0.001,-0.251,-1.266,-1.225,-0.333,?,-0.733,14/01@16/01
-0.18,-0.23,0.25,0.31,-0.31,0.61,0.13,0.196,0.21,-0.07,-0.44,-0.046,0.33,14/01@14/10@14/13@16/01@16/19/03@32/01/05@32/01/07
0.005,0.404,-0.465,0.176,0.345,0.025,0.271,0.161,0.247,0.13,0.088,0.27,-0.214,01/07@02/13/03@14/01@16/01
0.939,0.551,0.753,0.992,-0.514,-0.525,0.659,0.671,1.959,2.633,1.527,?,-0.192,14/01@14/07/03@14/10@16/01@18/02/01/02@32/01/07@40/01
0.271,0.182,0.43,0.637,-0.47,-0.221,-0.47,0.508,-0.087,-0.423,-0.652,0.341,0.022,14/01@14/04@14/13/01@16/01@16/19/03@32/01
0.054,-0.072,0.565,0.433,-0.441,-0.529,-0.539,-0.633,2.514,1.667,1.811,-0.851,-0.039,14/01@14/04@14/07/04@16/01@16/17/07@16/19/03@32/01/05@32/01/07@42/16
0.502,0.61,0.088,0.323,0.328,-0.001,0.151,-0.332,0.547,0.961,0.388,-0.187,-0.212,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@30/05@32/01/11@36/20/18@40/01/03@40/10/02
-0.163,0.141,0.657,0.709,0.266,-0.024,-0.196,-0.02,-0.301,-0.623,-1.095,?,0.186,14/01
-0.104,-0.27,0.206,0.107,-0.279,0.135,-0.15,0.416,0.56,0.507,0.045,?,-0.205,14/01
-0.09,0.074,0.17,0.495,-0.11,-0.16,-0.463,-0.695,0.096,-0.416,-0.337,-0.203,0.165,14/01@16/01@32/01/07@42/04
0.88,0.7,-0.463,0.48,0.698,0.496,0.066,-0.524,0.77,0.6,0.5,-0.275,-0.276,14/01@14/07@20/01/13
-0.771,-0.928,0.272,-0.242,-0.717,0.317,-0.403,0.764,-1.115,-0.73,-1.465,?,-0.098,01/05@14/07/02/01@14/07/02/02
0.07,0.02,-0.26,-0.18,-0.15,0.31,0.1,-0.39,-0.08,-0.58,0.21,-0.307,0.13,01/06/06@14/07/02@42/01
-0.21,-0.13,-0.21,-0.24,0.14,0.26,0.08,0.31,-0.35,-0.56,-0.17,0.25,0.14,01/05/02@14/07/02/01@16/17/07
-0.03,-0.06,-0.12,-0.44,0.4,0,0.12,0.242,-0.132,-0.67,-0.59,0.01,-0.05,01/05@14/07/02/01
-0.618,-0.672,0.462,0.328,-0.33,-0.077,0.009,-0.051,-0.356,-0.605,-0.762,0.242,0.083,01/05@14/07/02/02@42/01
-0.138,0.279,-0.025,0.112,0.404,-0.092,-0.414,-0.171,0.846,0.644,0.519,?,0.144,14/07/02/02
-0.198,-0.2,0.31,-0.079,-0.466,-0.39,-0.072,0.016,-0.112,-0.104,-0.852,0.261,-0.265,01/05@14/07/02/02@42/01
-0.12,-0.034,0.28,0.242,-0.377,-0.408,-0.074,-0.155,-0.17,-0.445,-0.304,0.301,-0.122,01/05@14/07/02/02@40/01@42/01@43/01/03/05
-0.86,-0.81,0.428,0.08,-1.086,-0.165,-1.509,0.722,-0.48,-1.48,-0.87,0.384,0.206,11/04/01@14/07@16/03/03@40/01
0.21,-0.04,-0.202,-0.14,0.146,-0.086,-0.259,0.3,0.16,-0.23,0.08,-0.057,-0.3,01/03/04@01/04@01/05/02@01/05/03@01/05/09/04@01/06@10/03/01@14/07/02/02
0.276,0.038,-0.781,-0.101,0.506,0.306,0.163,-0.079,-1.241,-1.091,0.132,0.074,0.238,01/06@14/07/02/02@20/01/03/01@20/01/17@20/09/07
0.096,0.297,0.459,0.343,-0.374,0.563,0.049,-0.413,-0.027,0.315,0.099,-0.169,0.065,99
0.243,0.149,-0.073,0.357,0.248,-0.013,0.069,-0.156,0.115,-0.016,-0.159,?,-0.052,01/06/06@14/07/01@16/17/09@30/01
-0.21,-0.368,0.396,0.15,-0.027,-0.351,0.158,0.604,0.311,-0.238,-0.24,0.307,-0.212,01/06@14/07@20/09/18
0.03,-0.46,0.17,-0.97,-0.469,-0.175,0.231,0.208,-1.66,-0.81,-0.505,?,-0.69,01/03/13@01/05/25@14/04@14/07/01@30/01/05/05/01@34/11/12
0.323,0.257,?,0.127,-0.103,0.015,-0.208,-0.656,-2.778,-0.637,-0.101,-0.217,-0.118,14/04@14/07/11@20/09/04
-0.431,-0.411,0.059,-0.102,-0.639,-0.643,-0.261,0.123,-0.041,-0.589,-0.161,0.082,0.935,01/05@01/06/02/01@01/06/02/02@14/07/01@16/01@42/01
0.284,0.316,0.273,0.291,-0.14,0.165,0.016,0.155,-0.346,-0.36,-0.489,0.503,-0.463,01/06@14/07/04
-0.02,-0.09,0.2,-0.05,-0.07,-0.2,-0.07,0.03,-0.12,-0.59,-0.62,0.29,-0.17,01/06@14/07@20/01/10@30/01/05/05/01@40/01@42/04@43/01/03/05
0.331,0.194,?,-0.272,0.414,0.125,0.167,-0.766,-0.298,-0.461,-0.319,0.027,0.152,14/04@14/13@20/09/04@42/16
0.048,0.22,0.08,0.394,0.227,0.173,0.109,-0.083,1.098,0.84,0.536,0.315,-0.274,14/07/11@14/13/01@16/17/09@34/11/03/07@42/10/05@43/01/03
-0.097,-0.115,0.718,0.679,-0.695,-0.617,-0.177,-0.973,-1.593,-2.513,-1.994,0.114,0.657,10/03/01@12/01/01@12/04@14/10@16/01
-0.417,-0.675,0.813,0.226,-0.651,-0.626,-0.503,-0.806,-1.124,-2.43,-1.866,0.125,0.704,12/01/01@12/04@16/01@16/03/03
-0.432,-0.291,0.896,0.178,-1.013,-0.675,-0.688,-0.487,-1.382,-2.603,-2.173,0.341,0.673,12/01/01@12/04@16/01@16/03/03
-0.408,-0.246,0.47,0.334,-0.932,-0.712,-0.54,-0.788,-1.269,-1.712,-1.55,0.292,0.832,12/01/01@16/03/03
-0.815,-0.65,0.578,0.212,-0.361,-0.84,-0.334,-0.854,-0.785,-1.799,-0.924,-0.323,0.655,12/01/01@12/04@16/01@16/03/03
-0.562,-0.692,0.498,0.366,-0.483,-0.458,-0.169,-0.435,-1.104,-1.991,-1.697,-0.117,0.613,12/01/01@12/04@16/01
-0.687,-0.684,0.589,-0.098,-0.334,-0.459,-0.309,-0.744,-1.083,-2.174,-2.069,0.112,0.978,12/01/01@12/04@16/01
-0.719,-0.117,0.13,0.183,-0.381,-0.396,-0.046,-0.765,-0.867,-1.93,-0.712,0.021,0.679,12/01/01@12/04@16/01
-0.675,-0.734,0.621,0.12,-0.254,-0.684,-0.265,-0.905,-1.038,-2.232,-1.506,-0.098,0.758,12/01/01@16/01
-0.96,-0.762,0.156,-0.314,-0.346,-0.71,-0.604,-0.697,-0.879,-1.744,-1.429,-0.02,0.621,12/01/01@12/04@16/01@16/17/09
?,1,0.415,?,2.434,0.531,0.066,?,?,?,?,?,?,12/01/01@12/04/02
-0.407,-0.737,0.107,0,-0.723,-0.631,-0.395,-0.289,?,-1.771,-1.642,-0.454,-0.053,12/01/01@12/04@16/01
-0.422,-0.368,0.48,0.053,-1.036,-0.97,-0.451,-0.065,-1.49,-2.618,-2.082,0.693,0.558,12/01/01@12/04@16/01
-0.441,-0.657,0.585,0.506,-0.197,-0.564,-0.362,-0.788,-1.241,-2.48,-1.719,0.055,0.794,12/01/01@12/04@16/01
-0.4,-0.43,0.4,-0.35,-0.08,-0.11,-0.21,-0.44,-1.065,-1.2,-1.03,-0.35,0.93,12/01/01@12/04@16/01
-0.263,-0.356,0.785,0.397,-0.737,-0.896,-0.434,-0.617,-1.301,-2.485,-2.114,0.299,0.649,12/01/01@12/04@16/01
-0.671,-0.548,0.39,-0.082,-0.609,-0.793,-0.463,-0.649,-2.095,-2.911,-2.272,0.117,0.699,12/01/01@12/04@16/01
-0.225,-0.119,?,0.225,-0.316,-0.68,-0.445,-0.765,-1.343,-2.23,-2.055,?,0.96,12/01/01@12/04@16/01
-1.019,-0.9,0.327,?,-0.697,-0.584,-0.557,-0.241,-0.169,-0.962,-0.489,?,0.88,12/01/01@12/04@16/01@16/17/09
-0.751,-0.66,0.611,0.079,-0.316,-0.554,-0.34,-0.845,-1.394,-2.289,-1.937,0.154,0.583,12/01/01@12/04@16/01
-0.171,-0.258,0.46,0.02,-0.784,-0.926,-0.291,-0.338,-1.245,-2.537,-1.542,0.403,0.622,11/04/01@12/01/01@12/04@16/01@16/03/03
-0.356,-0.391,0.61,-0.113,-0.969,-1.14,-0.357,-0.531,-1.279,-2.585,-1.621,0.336,0.587,11/04/01@12/01/01@12/04@16/01@16/03/03
-0.512,-0.76,0.629,-0.087,-0.54,-0.971,-0.63,-0.732,-1.543,-2.801,-2.243,0.175,0.602,12/01/01@12/04@16/01
-0.607,0.341,0.252,-0.231,-1.147,-1.289,-0.806,-0.424,-1.163,-2.329,-1.871,-0.056,0.439,12/01/01@12/04@16/01
-0.247,-0.194,0.706,0.127,-0.46,-0.814,-0.375,-0.423,-1.473,-2.845,-2.09,0.144,0.673,12/01/01@12/04@16/01
-0.194,0.14,?,-0.014,0.085,0.062,-0.394,-0.785,-0.344,-0.53,-0.385,-0.686,-0.389,12/01/01@42/16
-0.112,0.393,0.589,0.297,0.084,0.169,0.048,0.757,0.238,-0.013,-0.812,0.164,-0.455,01/06@12/01/01@42/16
-0.088,-0.004,0.345,0.459,0.419,0.186,-0.043,-0.542,0.512,0.053,-0.456,-0.683,-0.458,12/01/01@42/16
-0.16,0.07,0.215,0.042,-0.23,0,-0.325,-0.495,-1.649,?,-4.17,-0.884,-0.62,12/01/01@42/16
-0.397,-0.089,0.1,0.209,-0.011,0.182,-0.12,-0.399,-0.146,-0.04,-0.083,-0.758,-0.089,12/01/01@42/16
-0.005,-0.073,0.318,0.284,0.117,0.182,-0.424,-0.236,0.172,0.262,0.36,-1.019,-0.45,12/01/01@42/16
-0.439,-0.483,0.202,-0.02,0.159,-0.126,-0.195,-1.058,0.181,-0.377,-0.329,-1.023,-0.331,12/01/01@42/16
-0.382,-0.242,0.557,0.451,0.123,0.239,-0.506,-0.421,0.123,-0.301,-0.405,-1.149,-0.499,12/01/01@16/03/03@42/16
0.171,0.666,0.361,0.453,0.225,0.126,-0.649,-0.094,0.167,0.081,-0.5,-0.712,-0.475,12/01/01@42/16
0.141,0.64,0.459,0.224,0.237,0.239,-0.224,-0.578,0.169,-0.068,-0.533,-0.994,-0.456,12/01/01@42/16
-0.491,-0.209,0.186,0.509,0.388,0.356,-0.135,-0.222,0.572,0.129,-0.235,-0.819,-0.649,12/01/01@42/16
-0.123,0.039,0.348,0.431,0.382,0.376,-0.198,-0.17,0.456,0.36,-0.348,-0.482,-0.554,12/01/01@12/04/01@42/16
0.16,0.26,-0.14,0.06,-0.197,0.395,0.2,-0.18,0.875,-0.17,0.25,-0.14,-0.076,12/01/01@14/07@42/16
-0.328,-0.138,-0.179,0.034,0.559,0.401,0.369,-0.091,-0.886,-1,-0.158,0.053,-0.18,12/07
-0.516,-0.542,0.119,-0.086,-0.18,-0.371,0.166,0.417,-1.255,-1.828,-1.537,1.641,-0.04,01/03/01@01/04@11/02/03@11/04/03/01@12/04/02@16/01@16/19/05
-0.518,-0.522,0.32,-0.231,0.14,0.164,-0.031,0.279,0.553,0.256,-0.565,-0.484,-0.827,12/04/02@16/19/05
1,1.166,-0.33,0.58,0.698,0.465,0.503,0.046,0.623,0.559,0.523,0.157,-0.173,12/04/02@16/19/05
-0.22,-0.28,0.24,-0.23,-0.55,-0.04,-0.24,-0.26,-0.22,-0.42,-0.49,0.07,0.34,12/04/01@12/07
-0.236,-0.27,0.51,0.37,-0.633,-0.579,-1.082,-0.298,-0.626,-0.953,-1.041,-0.051,0.087,12/01/01@12/04/01@12/07@16/01@16/03/03@18/02/03@32/01
-0.027,0.126,0.327,0.165,-0.562,-0.695,-0.322,-0.134,-0.714,-0.89,-0.239,0.363,0.283,12/04/01@18/02/03
-0.43,-0.665,0.33,0.13,-0.51,-0.43,-0.31,0.756,-0.46,-0.85,-1.24,0.41,0.01,10/03/01@12/04/01@43/01/03/09
-1.591,-1.949,0.05,-1.652,0.029,0.201,-0.254,0.31,-0.238,-0.757,-0.932,0.186,0.395,01/03/16@12/04/01@16/01@40/10/02
-0.38,-0.49,0.385,0.11,-0.79,-0.92,-0.969,-0.186,-0.68,-1.28,-1.23,-0.032,0.38,12/04/03@16/01@18/02/01/01/01
-0.388,-0.513,0.509,0.21,-0.795,-1.113,-0.771,0.422,-0.891,-1.514,-1.208,?,0.167,12/04@12/10@16/19/03
-0.45,-0.36,0.457,0.096,-0.02,-0.12,-0.08,0.754,-0.87,-1.451,-1.719,0.101,-0.008,12/04@12/10@16/03@16/19/03
-0.23,-0.55,0.172,0.11,-0.26,-0.38,-0.569,0.534,-1.05,-1.48,-1.83,0.678,0.05,12/04@12/10@16/19/03
-0.511,-0.827,0.38,0.03,-1.065,-1.001,-1.112,0.127,-0.823,-1.217,-1.553,0.53,0.214,11/02/01@12/04@12/10@16/03/03@16/19/03
-0.05,0.297,0.133,-0.152,0.152,0.326,0.404,-0.123,0.199,-0.481,?,0.553,-0.388,12/10@16/19/03
-0.22,-0.097,0.462,0.156,-0.378,-0.627,-0.295,0.185,-0.552,-0.761,-0.609,0.621,0.317,12/10
-0.162,-0.276,0.14,0.296,-0.045,-0.79,-0.652,0.52,-0.608,-0.755,-1.289,?,0.18,12/04@12/10@16/01/01@16/03/03@16/19/03@30/05/01/05@34/05@40/10/02
-0.015,-0.343,?,0.272,0.317,0.226,-0.28,-0.332,0.463,0.27,0.316,-0.74,-0.196,11/02/03@11/04/03/01@11/06/02@12/04@12/07@16/19/05
-0.296,-0.161,1.585,0.152,0.407,-0.047,-0.094,0.276,0.371,0.076,-0.28,0.158,-0.179,12/07
-0.77,-1.02,-0.076,-0.45,1.01,-0.11,0.615,0.866,-0.05,0.17,-0.66,0.323,-0.15,11/02/03/01@11/02/03/04@43/01/03/05
-1.286,-1.141,0.435,-0.254,-0.419,-0.727,-1.111,-0.265,-1.417,-2.151,-1.526,-0.116,0.311,01/03/01/03@01/03/04@01/05
0.065,0.213,0.309,0.195,-0.48,-0.395,?,-0.152,-0.804,-0.355,-0.159,0.135,0.272,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07@16/17/07@40/01/05
0.43,0.701,-0.048,0.144,0.189,0.141,0.015,-0.024,2.012,1.909,1.962,?,0.047,01/03/10@01/03/13@30/01/09/07
0.44,0.05,?,0.58,-0.476,-0.541,0.27,0.379,0.7,0.82,0.89,0.792,0.423,01/03/01/01@01/03/04@01/03/10@01/04
-0.79,-0.838,0.313,0.075,-1.333,-0.991,-1.315,0.576,-1.515,-2.341,-1.686,0.178,0.763,01/03/04@20/01/15
0.943,1.204,-0.62,0.21,0.547,?,0.18,0.096,0.731,0.712,0.737,-0.042,0.048,01/03/04@01/07/01@16/01
0.763,1.082,-0.02,0.614,0.455,0.251,0.062,-0.426,-0.417,-0.075,-0.222,-0.008,-0.493,01/02@01/03/07@01/20/37/01@16/21/05@16/21/07@20/01/15@32/01/01@32/07/07@34/11/11
0.122,?,-0.409,-0.594,-0.338,-0.121,0.093,-0.037,-0.529,-0.16,0.022,?,-0.516,01/03/04/01@01/03/04/03@01/03/13@14/10@16/01@16/17/09@16/19@30/05/01@40/01/03/01
-0.05,-0.21,-0.105,-0.22,-0.856,-0.902,-0.499,-0.618,-1.18,-1.27,-0.72,-0.987,-0.062,01/03/04/01@01/03/07@01/04@16/17/07
1.098,1.086,-0.055,0.865,-0.14,-0.345,-0.089,?,-0.168,-0.095,-0.687,-0.239,-0.3,01/02@01/03/07@01/20/37/01@16/21/05@16/21/07@20/01/15@32/01/01@32/07/07@34/11/11
0.363,0.33,0.595,0.154,0.864,0.213,0.875,0.29,0.322,0.653,0.068,0.245,-0.209,01/05@02/16/03@02/45@16/01@42/04@42/16
-1.258,-1.275,-0.46,-1.149,-1.761,-2.268,-0.733,0.056,-1.886,-2.01,-1,-0.364,-1.005,01/01/11@01/05/02/07@02/09@02/10@16/21/07
-0.05,0.2,0.245,0.53,0.33,0.32,0.23,0.17,0.63,0.73,0.18,0.09,-0.4,10/01/05@11/02/03/04/03
0.17,0.594,-0.18,-0.34,0.458,0.146,0.4,0.425,0.626,0.27,0.305,-0.1,-0.866,01/05/02/04@01/05/02/07@02/01@02/10@16/21/11
