@RELATION 'spo0.names'

@ATTRIBUTE t0_green                                numeric
@ATTRIBUTE t0_red                                  numeric
@ATTRIBUTE t2_green                                numeric
@ATTRIBUTE t9_green                                numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t11Point5_green                         numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE t11Point5_regression                    numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
2561,1787,2073,2092,1351,1843,2952,0.798,0.916,1.033,0.839,0.721,0.465,0.497,0.637,0.467,0.77,0.62,0.66,0.66,10/01/03@32/01/09@42/10/03
2846,2363,2539,2586,1048,3847,1281,0.921,0.881,0.855,2.166,1.614,0.93,0.714,0.824,0.438,1.65,1.11,0.99,0.85,01/06@11/02/03/01@11/02/03/04
1558,928,1709,2041,1321,1763,945,0.666,0.84,0.872,0.927,0.689,0.029,0.017,0.197,0.021,0.98,0.08,0.04,0.24,10/03/02@40/01@42/01@42/04@43/01/03/05@43/01/03/09
7253,7038,5112,3641,1159,4984,4089,0.921,0.916,0.893,1.807,1.196,3.269,3.455,2.321,3.538,1.25,2.44,3.45,2.33,01/03/01@01/03/04@01/04@10/03/03@16/19/03@16/19/05@20/03/09@40/01
2202,1583,2334,2600,1104,3215,1130,0.914,0.849,1.036,0.84,0.522,0.844,1.088,0.712,0.827,0.68,0.64,0.98,0.76,11/02/03/04
5542,4952,5336,8840,1418,12769,3403,0.91,0.902,0.952,1.592,1.178,1.883,2.153,1.854,1.791,1.32,1.22,2.1,1.84,11/02/03/01@11/02/03/04
4416,4172,3852,4717,1149,10705,5927,0.934,0.917,0.848,0.854,1.356,0.696,0.518,1.361,1.649,1.48,1.65,0.71,1.42,16/17/09@20/01/01/01/01@20/03/22@20/09/18@34/01/01/01
3882,2981,3969,3161,952,7155,4269,0.965,0.958,1.12,0.932,1.494,0.739,0.608,1.128,1.352,1.48,1.92,0.75,1.23,16/17/09@20/01/01/01/01@20/03/22@20/09/18@34/01/01/01
2815,2275,2487,2334,954,3865,1822,0.942,0.921,0.994,0.572,0.491,0.578,0.444,0.671,0.463,0.53,0.67,0.61,0.69,01/04@01/05@01/06@01/20@30/01
2559,1735,2816,3076,1171,2619,3276,0.807,0.957,1.089,1.519,0.975,0.619,0.703,1.211,0.892,1.08,0.9,0.7,1.28,10/01/05@11/02/03/04/03
5449,4425,3229,3183,983,2377,3790,0.907,0.945,0.974,9.197,2.652,2.716,2.321,5.68,4.407,2.7,1.84,2.8,6.75,20/09/07/03@40/01
3088,2238,3048,3348,1223,2997,3026,0.848,0.958,1.05,1.067,0.909,1.7,1.435,1.14,1.228,0.97,1.53,1.75,1.16,11/04/03/01@12/04@14/01@14/04@14/07@16/01@16/02@30/05@32/01/11@36/20/18@40/01/03@40/10/02
3397,2780,3176,3050,1090,5384,1205,0.933,0.943,0.99,0.868,0.679,1.03,1.047,0.528,0.266,0.74,0.61,1.09,0.55,01/06@14/07/05@14/10@14/13/01/01@16/01@16/19/03
2297,1533,2293,2361,1099,2235,1402,0.76,0.956,0.924,1.23,1.14,1.189,1.218,0.937,0.991,1.26,1.56,1.66,1.01,10/03/04/05@16/01
2415,1490,1728,1862,1029,1641,2902,0.823,0.84,1.085,2.279,1.18,0.782,0.995,1.513,0.677,1.38,0.79,1.09,1.49,01/01/06/01/01@01/01/06/02/02@01/02@32/01/11
4352,3772,3496,2964,1252,3044,2684,0.823,0.964,0.807,0.596,0.649,0.769,0.65,0.88,0.615,0.8,0.84,0.81,0.88,01/01/13@01/02/07/03@01/05/25@10/03/01/01/03@10/03/01/01/09@10/03/04/05@14/07/05@14/07/07@14/10@14/13/01/01@16/01@16/19/03@34/01/03/01
3840,3125,3142,2671,944,9070,7467,0.869,0.921,0.953,0.517,0.808,0.858,0.624,0.643,0.269,0.87,0.79,0.91,0.52,14/13/01/01
3879,3242,3837,3091,1000,9090,4682,0.874,0.914,0.931,0.773,1.187,1.346,0.872,1.058,0.558,1.3,1.32,1.35,1.07,99
3704,3185,3897,3364,889,6043,3819,0.921,0.929,0.947,1.12,1.38,1.567,1.158,0.999,0.853,1.46,1.4,1.7,1.02,14/04@16/01@20/01/10@20/09/01@34/11/03/07
2809,2317,2316,2374,972,3988,1336,0.921,0.914,0.933,1.916,1.133,1.282,0.952,1.824,1.177,1.29,1.2,1.29,1.89,12/01/01@16/03/03@42/16
5614,3949,3488,3912,1427,2235,7798,0.835,0.904,1.058,1.723,1.491,2.067,1.66,2.183,1.741,1.77,1.87,3.2,2.44,42/01@43/01/03/05
10731,8442,6690,8077,1540,4188,9516,0.907,0.878,1.076,0.941,1.412,3.756,2.097,1.718,2.672,1.47,2.79,3.73,1.76,01/02@01/03/07@01/20/37/01@16/21/05@16/21/07@20/01/15@32/01/01@32/07/07@34/11/11
3707,3499,3455,2658,988,6545,3366,0.888,0.894,0.792,0.656,0.441,0.225,0.311,0.334,0.258,0.48,0.32,0.24,0.33,10/03/01@42/04/05
5185,5003,4520,3216,922,12688,5377,0.858,0.911,0.842,0.971,1.27,1.76,1.502,0.615,0.494,1.34,1.46,1.72,0.64,20/09/07
2722,2088,2412,1965,1181,5098,4263,0.807,0.859,0.835,1.158,0.751,0.57,0.711,0.904,0.684,0.93,0.84,0.67,0.96,99
2924,2036,2067,2503,1380,1494,2666,0.793,0.827,0.919,0.982,0.604,0.544,0.831,0.675,0.548,0.67,0.79,0.78,0.69,10/01/05/01@10/01/05/03/01@10/03/02/01@16/01@16/03/01@32/01/09
3169,2062,2111,2938,1385,1516,3291,0.855,0.929,1.105,0.899,0.733,0.409,0.558,0.732,0.61,0.84,0.64,0.53,0.75,01/04@02/13/03@14/10@16/01@16/19/03@20/03/22@42/16
3650,2968,3183,3189,1054,5643,2706,0.93,0.935,1.037,1.305,1.033,1.595,1.768,1.114,1.486,1.12,1.84,1.61,1.17,18/02/01/01/01@30/01/05/05/01@30/05@34/11/03/07@40/01@42/04/03@42/29@43/01/03/05
5330,4990,4298,3728,1036,10760,6924,0.91,0.938,0.866,0.216,0.374,1.177,0.771,0.512,1.102,0.4,0.79,1.21,0.53,01/02@20/03@20/09/16
5113,3593,3108,5346,1261,2181,6699,0.911,0.915,1.199,1.4,1.256,2.866,2.087,3.143,12.197,1.34,1.79,2.83,3.31,01/03/01/03@01/03/04@01/05
1511,982,1621,1644,1117,1912,1015,0.699,0.839,0.626,2.736,0.351,0.075,0.077,0.861,0.172,1.28,1.25,0.11,0.91,32/07/01@42/01@43/01/03/09
1732,1143,2103,2295,984,1778,724,0.851,0.856,0.938,0.947,0.577,0.044,0.015,0.787,0.657,0.99,1.02,0.04,0.89,43/01/03/09
2004,1407,2127,2200,918,2695,1240,0.807,0.829,0.92,0.793,1.215,1.723,1.295,0.992,0.884,1.53,1.6,1.81,1.07,14/07/07@14/13/01
2171,1312,2195,2264,1287,1174,1821,0.639,0.644,0.956,0.486,0.616,0.007,0.368,0.768,1.128,0.71,1.32,0.72,0.79,10/01/03@10/01/05/01
3782,3049,4041,3711,920,7952,2994,0.907,0.957,0.972,0.963,0.773,1.041,1.412,0.483,0.267,0.8,0.69,1.08,0.51,14/13/01/01@16/07
6357,6874,6324,7861,1114,20342,7521,0.838,0.964,0.681,0.784,3.292,2.72,2.237,1.953,0.818,3.3,2.65,2.61,1.91,11/04/01@11/04/03@14/04@16/03/03@20/01/21@20/09/01
2129,1376,1649,1761,1136,1352,1480,0.841,0.945,0.957,0.898,0.553,0.366,0.582,0.345,0.148,0.66,0.42,0.85,0.36,10/01/09/05@10/03/04/05@11/02/03/04
1769,1065,1972,2266,1251,1650,2396,0.605,0.94,0.791,0.823,1.024,0.528,0.488,1.016,0.913,1.11,1.1,0.78,1.07,10/01/09/05@11/02/03/01@11/02/03/04@14/07/04@18/02/09@42/10/03
3456,2554,3712,4237,1205,3484,6260,0.863,0.949,1.003,1.143,1.068,0.695,0.619,1.123,0.783,1.13,0.81,0.77,1.17,11/02/03/04
3141,2129,2045,2237,1105,1798,4691,0.903,0.96,1.13,6.273,2.123,0.342,1.438,3.893,1.964,2.2,1.08,0.98,4.26,01/01@14/07/09
6048,4660,3496,3395,1042,2335,3818,0.903,0.941,1.004,2.004,1.132,1.889,1.415,1.078,0.963,1.16,1.47,2.25,1.1,11/04/03/01@14/10
3764,3182,3258,3052,1032,5689,2225,0.889,0.94,0.906,0.401,0.546,0.954,0.813,0.447,0.757,0.58,0.75,0.99,0.47,01/04@14/07/03@16/17/07@16/17/09@32/01/11
6015,4402,3672,5531,1487,3688,5848,0.917,0.916,1.185,0.943,0.631,1.07,1.095,0.54,0.836,0.64,0.83,1.18,0.54,10/01/02@10/01/05/03/03@32/01/09@42/10/03
10201,10463,10620,7601,1086,25565,8453,0.889,0.938,0.812,0.853,1.631,2.811,2.313,0.936,1.242,1.73,2.78,2.81,0.95,01/05/02/07@01/05/03@02/19
3290,3161,4443,2782,949,6110,1157,0.892,0.878,0.793,1.268,2.141,2.426,0.723,0.344,0.256,2.23,2.4,2.26,0.38,01/04@10/01/03@10/03/01@10/03/02@14/01@14/04@14/07@14/10@16/01@16/19/03@18/02/01@20/01/10@20/03@20/09/01@20/09/04@20/09/05@20/09/07@32/01/05@32/01/07@34/01/01/01@34/11/09@40/10/02/01@41/01/01@42/01@42/10@43/03
2850,2089,2636,2963,1068,3308,1673,0.916,0.95,1.09,1.073,0.896,1.183,1.025,0.917,1.124,0.95,1.12,1.19,0.93,20/01/01/01@20/03/22@34/01/01/01
7865,7046,4564,3565,1216,3346,4522,0.796,0.963,0.844,1.546,1.483,2.193,3.274,1.723,4.002,1.55,2.87,2.31,1.82,42/01
2638,2205,2689,3061,1151,7347,4471,0.899,0.891,0.806,1.322,1.061,1.371,1.329,1.865,1.919,1.16,1.54,1.47,1.89,01/06@12/01/01@42/16
4022,3932,3954,3723,924,8227,3312,0.94,0.953,0.841,1.085,0.753,1.666,1.631,1.181,2.319,0.87,2.14,1.72,1.2,01/03/01/03@01/07/01@02/11@02/45/15@16/17@20/01/01/01@20/01/15@20/03/22@20/09/13@34/01/01/03
5541,6086,7308,6612,1183,13874,9102,0.911,0.916,0.703,4.698,3.329,2.712,1.518,11.962,14.456,3.5,4.02,2.75,11.86,12/01/01@12/04@16/01@16/03/03
2944,2606,2509,2749,1245,7612,3539,0.887,0.9,0.707,0.871,1.069,0.854,0.692,0.379,0.9,1.3,1.87,0.95,0.89,10/01/09/05@11/02/03/04@14/07/04@16/01@30/01/05/05@40/01@43/03
1790,1030,1992,2403,1436,1662,1314,0.513,0.916,0.696,0.476,0.635,0.286,0.306,1.057,0.351,0.88,1.02,0.36,1.17,01/05
6118,4967,3430,3447,1089,2805,6055,0.911,0.881,0.987,0.549,0.572,0.988,1.069,1.65,8.906,0.62,0.66,1.05,1.67,01/05@02/16/03@02/45@16/01@42/04@42/16
3277,2879,2743,2870,989,7999,5001,0.831,0.897,0.831,0.825,0.739,2.8,2.398,1.117,4.678,0.84,1.38,2.65,1.18,01/05@14/07/02/01@14/07/02/02
2630,1878,2724,3140,1337,2480,2615,0.734,0.948,0.922,1.27,1.153,1.554,1.477,1.195,0.771,1.41,1.33,1.74,1.24,11/02/03@11/04/01@11/04/03/01@12/07@16/03/03@16/19/03@42/10
2824,2014,1818,2029,1069,1477,1969,0.932,0.931,1.019,0.521,0.535,0.405,0.47,0.379,0.335,0.61,0.74,0.49,0.39,01/07/01@01/20/19/01
4248,3526,4915,5468,1406,4652,6310,0.762,0.928,0.788,0.179,0.717,1.347,0.955,0.8,0.701,0.78,1.68,1.49,0.83,01/06/10@14/07/01@16/17/07@20/01/13@20/09/03
2208,1505,1599,1874,1041,1372,1638,0.903,0.846,0.993,0.931,0.399,0.261,0.311,0.351,0.398,0.51,0.53,0.36,0.36,10/03/01/03@10/03/04/09@10/03/05/01@42/04/05@42/10
3512,2605,3832,3971,1324,2823,4584,0.82,0.875,0.948,0.709,0.744,0.855,0.922,0.816,0.582,0.81,0.82,0.94,0.85,01/04@02/13@10/03/03@14/10@14/13@16/17/09@16/19/03@20/01/10@20/09/04@20/09/14@32/01@34/07@42/16
2069,1425,1919,1806,934,1834,1025,0.919,0.921,1.005,0.834,0.749,0.78,0.941,0.551,0.684,0.82,1.32,0.85,0.61,01/06/02/01@30/01/09/09@30/01/09/11@32/01/03@34/11/03/13
4471,4775,3699,3469,1055,6872,3973,0.918,0.942,0.727,0.778,0.501,1.015,1.413,0.469,0.409,0.56,0.52,1.05,0.47,01/01/03/03/01
4995,4763,3597,3438,1224,6465,5217,0.937,0.95,0.87,0.13,0.177,0.375,0.213,0.331,0.909,0.19,0.26,0.41,0.34,01/05@01/20/17/01@20/01/03@20/01/13@20/03@20/09/04
4456,4364,4056,3469,1100,10796,6094,0.904,0.923,0.826,2.012,2.281,2.743,3.168,2.603,3.944,2.59,3.13,3.05,2.6,01/06/02/01
5190,3923,2811,3045,1181,2251,5284,0.898,0.879,1.041,0.906,0.681,1.623,1.36,0.714,0.917,0.75,1.18,1.71,0.74,01/03/01@01/04@10/01/09/05@10/03/01@10/03/03@11/02/03/04@14/04@14/10@16/01@16/19/03@16/19/05@20/01/10@20/01/26@20/09/07/03@20/09/07/25@20/09/07/27@20/09/13@20/09/16/09/03@20/09/18/09/01@30/01/05/05/01@32/05@42/09@42/10/03@42/22@43/01/03/05
2017,1205,1555,1889,1149,1329,1197,0.854,0.854,1.043,0.65,0.609,0.534,0.67,0.61,0.548,0.78,0.9,0.7,0.67,01/06@14/07/02/02@20/01/03/01@20/01/17@20/09/07
2210,1440,2049,1967,1080,1747,1556,0.718,0.939,0.817,0.759,1.097,0.26,0.189,0.986,0.762,1.32,1.4,0.95,1.09,01/02/07/01@11/02/03/04/01
3042,2877,2759,2265,957,5906,4140,0.892,0.908,0.768,2.059,1.338,1.562,1.51,2.065,1.052,1.39,1.3,1.63,2.11,99
2645,1776,2190,2081,969,1873,3872,0.864,0.909,1.08,1.083,0.52,0.229,3.073,1.593,1.514,0.6,1.24,1.79,1.69,01/04@20/01/01/07/07@20/03/02/02@20/09/04@20/09/13@34/01/03/03
5711,5203,3939,4722,1431,2157,5129,0.919,0.94,0.874,1.159,3.081,1.365,1.375,4.119,5.763,3.15,2.17,1.36,4.15,01/01/09/01/01@01/01/09/02/01@16/21/07
2883,2167,2197,1936,1138,1754,2857,0.825,0.909,0.902,0.621,0.541,0.743,0.662,0.834,1.226,0.67,0.75,1.09,0.9,01/01/06/04/02@01/01/09/02@01/01/11/02/01
6821,6651,6056,6076,1052,11097,3963,0.928,0.953,0.861,1.639,2.718,1.736,1.302,2.707,2.492,2.87,2.05,1.77,2.76,10/01/09/05@11/02/03/04@40/01/03@43/01/03/05
3390,2617,2663,2142,1132,2056,2917,0.838,0.951,0.923,0.717,0.877,0.74,0.601,0.848,0.76,1.06,1,0.91,0.92,01/01/09/06/01@01/01/09/07/01@01/03/01/03@01/03/04/03@01/04@02/07@16/17/07@40/01/05
2926,2346,2332,1886,1015,1851,1688,0.818,0.937,0.69,1.137,0.623,0.623,0.598,0.553,0.478,0.87,0.71,0.89,0.59,14/04
10838,11200,8341,12347,1609,4507,8024,0.915,0.931,0.83,3.051,3.491,2.87,1.561,12.157,19.064,3.68,5.71,2.84,11.97,12/01/01@12/04@16/01
4393,3855,4673,5825,1156,6929,3840,0.915,0.959,0.878,1.25,0.673,1.264,1.187,0.871,1.37,0.94,1.17,1.3,0.92,10/03/01@11/02/03/04@18/02/01/01/01@20/09/07/03
5959,4851,6136,4707,1039,13166,3405,0.934,0.933,1.07,0.908,0.908,2.185,2.575,0.693,0.697,0.94,1.42,2.29,0.73,18/01/07@18/02/01/01/01@18/02/01/02/01@18/02/05@20/09/13@20/09/16@30/01
3322,2749,3564,2716,1004,5973,2833,0.934,0.901,1,0.704,0.746,1.341,1.21,0.726,0.495,0.8,1.11,1.47,0.76,10/01/05/01@16/03/01@32/01/09@32/05/01/03
2511,2111,2307,2352,1013,3341,2622,0.922,0.916,0.821,0.973,0.348,0.349,0.364,0.282,0.256,0.38,0.36,0.39,0.29,11/02/03@11/04/01@11/04/03/01@16/03/03
5530,6474,5810,4433,1188,9792,8455,0.873,0.925,0.643,1.701,1.472,0.526,0.485,2.104,1.674,1.61,1.01,0.54,2.12,11/04/03/11@12/04/01@12/07@16/03/03@20/01/21
2684,2245,2460,2347,1016,5366,3820,0.809,0.935,0.763,1.189,1.26,1.351,1.339,1.346,1.643,1.39,1.2,1.34,1.39,10/01/05/01@11/02/03/04/03
1652,1047,1513,1513,945,2190,873,0.692,0.467,0.791,0.928,0.918,0.593,1.028,0.592,0.439,1.28,1.36,1.06,0.78,32/07
4687,3432,2945,3427,1181,2704,4082,0.882,0.951,1.031,1.555,0.347,0.987,1.081,0.217,0.314,0.37,0.36,1.01,0.23,01/04@10/01/05@10/03/01/01/09@10/03/01/01/11@10/03/04/03@16/03/01@16/19/03
3626,3270,3480,2453,993,7197,3666,0.82,0.945,0.759,0.852,0.796,0.647,0.541,0.687,0.427,0.83,0.86,0.67,0.69,32/01@42/27/03
1822,1202,1785,1744,1104,3324,1442,0.61,0.922,0.624,0.857,0.863,0.124,0.126,0.824,0.56,1.23,0.45,0.16,0.88,20/01/03
4982,4842,4203,6208,1200,4879,1840,0.906,0.935,0.842,1.491,1.466,0.718,0.187,1.119,0.606,1.55,0.62,0.42,1.6,01/20/19/01@01/20/35/01/01@20/01/01/01/01/01@20/03@20/09/18@32/05/01/03/03@34/01/01/01
2144,1557,2044,1855,934,2371,812,0.748,0.619,0.762,0.952,1.084,1.142,1.222,1.97,1.06,1.43,1.88,1.67,2.04,18/02/01/01/01@18/02/05@30/01/05/05/01@40/01/03
4987,3979,2598,3727,1453,1868,3071,0.873,0.93,0.974,1.156,0.623,0.479,0.548,0.284,0.305,0.65,0.4,0.51,0.32,99
2825,2114,2154,1954,1064,1800,1619,0.808,0.958,0.769,0.589,0.873,0.922,0.884,0.819,0.972,1.08,1.13,1.15,0.92,01/05/25@11/02/03/04@16/03/01
3501,2664,2873,2229,1102,2256,1449,0.792,0.929,0.785,0.603,1.038,1.062,1.556,0.956,0.483,1.22,1.28,1.44,1.22,01/01/09/04@01/01/09/05@01/05@02/16
2453,1527,1878,2535,1382,1720,2866,0.783,0.873,0.972,1.122,0.942,0.915,1.068,1.131,0.94,1.18,1.19,1.12,1.25,01/01/09/04@01/01/09/05@01/05@02/16
2522,2116,2626,2046,936,5349,6108,0.788,0.948,0.723,1.437,0.987,1.12,1.201,0.617,0.615,1.03,0.87,1.15,0.7,14/04@16/07@20/01/10@20/01/21@20/09/01@42/10/05
1814,1206,1877,1589,919,2435,2231,0.717,0.886,0.867,0.538,0.311,0.112,0.086,0.253,0.156,0.4,0.26,0.15,0.26,01/04@10/01/03@10/03/01@10/03/04/05@14/07/03
9620,8328,5417,5174,1457,4182,9014,0.837,0.928,0.937,0.925,0.407,0.597,0.766,0.738,0.668,0.47,0.43,0.66,0.76,02/11@02/13/03
4890,3522,3663,5870,1669,1738,5815,0.837,0.834,0.973,1.423,1.193,0.897,0.666,1.081,1.223,1.43,1.35,0.97,1.11,01/04@10/03/01/01/03@14/07/03@30/01/05/01@43/01/03/05
