@RELATION 'pheno0.names'

@ATTRIBUTE chip_affymetrix_chip                    {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha    numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE sig_and_fc_heat                         numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a         numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha     numeric
@ATTRIBUTE thrshld_1=below_detection_gal           numeric
@ATTRIBUTE thrshld_1=below_detection_heat          numeric
@ATTRIBUTE thrshld_gal                             numeric
@ATTRIBUTE thrshld_fy5_alpha                       numeric
@ATTRIBUTE thrshld_heat                            numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class string
@DATA
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000228@GO0003677@GO0004386@GO0005524@GO0005634@GO0005739@GO0006357@GO0006364@GO0016887@GO0017025@GO0042790@GO0045892@GO0045898
D,21,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000045@GO0000407@GO0005737@GO0005774@GO0005829@GO0006623@GO0006661@GO0006914@GO0006995@GO0010008@GO0016236@GO0019898@GO0030242@GO0031410@GO0032258@GO0034045@GO0034271@GO0034272@GO0034727@GO0042147@GO0045324@GO0120095
D,21,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0005200@GO0005634@GO0005823@GO0007020@GO0030474@GO0042802
D,20,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.07,0.35,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000978@GO0001077@GO0005634@GO0005737@GO0008270@GO0015976@GO0035948@GO0045944@GO0061414@GO0061415@GO0071466@GO0071555
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0004674@GO0004708@GO0004713@GO0005524@GO0005737@GO0005934@GO0005935@GO0006468@GO0007165@GO0007346@GO0023014@GO0030242@GO0031098@GO0032147@GO0042981@GO0043332@GO0060237
D,21,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0005524@GO0005871@GO0005881@GO0007026@GO0007049@GO0008017@GO0008574@GO0016887@GO0030473@GO0046785@GO0051301@GO1903754
D,21,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0005096@GO0005829@GO0007266@GO0019236@GO0030010@GO0030036@GO0043547
D,21,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0008374@GO0015293@GO0015793@GO0016020@GO0016021
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000027@GO0000492@GO0005654
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000076@GO0000725@GO0000794@GO0003677@GO0005737@GO0007093@GO0008408@GO0030896@GO0031573@GO0051321@GO0051598@GO0071479@GO0090305
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000778@GO0004672@GO0005524@GO0005737@GO0005819@GO0005828@GO0005876@GO0006468@GO0007059@GO0008608@GO0018105@GO0032133@GO0032465@GO0035174@GO0044774@GO0045143@GO0045144@GO0051228@GO0051233@GO0090266@GO1901673@GO1901925
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000398@GO0005686@GO0030620@GO0071004
D,20,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.07,0.36,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000142@GO0000920@GO0003779@GO0006970@GO0007015@GO0007049@GO0007165@GO0008092@GO0043087
D,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.08,0.33,0.0,0,0.11,0.0,0,0.33,0.0,0,1,1,1,1,5,5,5,1,GO0005047@GO0005634@GO0005783@GO0005786@GO0006616@GO0008312@GO0030942
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000435@GO0000978@GO0001077@GO0001085@GO0000981@GO0005634@GO0006012@GO0008270@GO0042802
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000741@GO0000778@GO0005634@GO0005737@GO0005816@GO0005881@GO0005938@GO0030473@GO0031578@GO0043332@GO0051293@GO0072686
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0003676@GO0046872
D,21,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000778@GO0007059@GO0034087@GO0051301@GO0051321
D,21,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000750@GO0004707@GO0005524@GO0005634@GO0006468@GO0008360@GO0010468@GO0030476@GO0042174@GO0046777
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000139@GO0005086@GO0006887@GO0016192@GO0032014@GO0034067@GO0034976
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000755@GO0004222@GO0005935@GO0007120@GO0043332@GO0046872@GO0071432
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0000278@GO0000742@GO0000743@GO0005524@GO0005634@GO0005816@GO0005871@GO0005881@GO0007064@GO0008017@GO0008569@GO0046982@GO0051301@GO0051321@GO0060236
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0003677@GO0003887@GO0005634@GO0005737@GO0006261@GO0007049@GO0008622@GO0042276@GO0045005@GO0070868
D,21,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0005634@GO0005829@GO0006974@GO0008641@GO0016925@GO0031510
D,21,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0001002@GO0001156@GO0003723@GO0005634@GO0005654@GO0042791@GO0046872
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0005634@GO0034427@GO0051607@GO0055087@GO0070478@GO0070481
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0003677@GO0003899@GO0005654@GO0005666@GO0005737@GO0006386@GO0042797
D,20,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.31,0.0,0,1,1,1,1,5,5,5,1,GO0000978@GO0001077@GO0005634@GO0006355@GO0008270@GO0061414
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0030611@GO0046685
D,20,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.0,0,0.11,0.0,0,0.37,0.0,0,1,1,1,1,5,5,5,1,GO0005886@GO0015104@GO0015105@GO0015297@GO0015699@GO0015700@GO0016021@GO0046685
A,20,0.2,0.19,0.19,0.17,-0.01,0.0,-0.0,0.19,0.17,0.0,0,0.13,0.1,0,0.09,0.44,0,?,?,?,?,5,?,1,0,GO0006888@GO0015031@GO0030134@GO0030173@GO0030176
A,21,0.11,0.13,0.1,0.13,-0.01,0.0,0.04,0.11,0.09,0.0,0,0.11,0.1,0,0.06,0.67,0,?,?,1,?,5,?,?,0,GO0000131@GO0004100@GO0005628@GO0005737@GO0005886@GO0005935@GO0016021@GO0030428@GO0030476@GO0030659@GO0034221@GO0045009@GO0071944
A,40,0.85,0.86,0.9,1.07,-0.01,-0.09,0.0,0.92,0.08,1.1,0,0.12,0.1,0,0.11,0.0,0,?,?,?,?,?,?,5,0,GO0000462@GO0002181@GO0003735@GO0005730@GO0022627@GO0032040
A,20,0.3,0.31,0.48,0.44,-0.01,0.1,0.07,0.38,0.09,1.1,0,0.11,0.1,0,0.05,1.4,0,?,?,?,?,?,?,?,0,GO0000747@GO0005937@GO0006897@GO0006970@GO0007015@GO0008092@GO0030036@GO0030479@GO0031532@GO0042594@GO0045121@GO0051666@GO0060988@GO0097320@GO1990528
A,20,0.24,0.27,0.24,0.38,-0.01,-0.02,0.1,0.28,0.08,0.3,0,0.11,0.1,0,0.07,1.43,0,?,?,?,?,?,?,?,0,GO0005524@GO0005886@GO0006813@GO0006814@GO0008554@GO0008556@GO0015662@GO0016021@GO0055085
A,19,1.72,2.0,1.75,1.31,-0.01,0.02,-0.13,1.7,0.11,0.2,0,0.16,0.1,0,0.08,1.63,0,?,?,?,?,?,?,?,0,GO0000122@GO0000788@GO0003677@GO0006301@GO0006333@GO0031298@GO0046982
B,21,0.07,0.1,0.1,0.1,-0.0,0.0,0.0,0.07,0.09,0.0,0,0.03,0.3,0,0.18,0.0,0,?,1,1,1,5,1,5,0,GO0000124@GO0000182@GO0000790@GO0001178@GO0003677@GO0004386@GO0005524@GO0006363@GO0006368@GO0006369@GO0008094@GO0016584@GO0030874@GO0031490@GO0034728@GO0035064@GO0042766@GO0043044@GO0044212@GO0046695@GO0060303@GO0070615@GO0071441@GO0071894@GO1900050@GO1902275@GO2000104@GO2000616
B,20,0.1,0.1,0.1,0.07,-0.0,0.0,0.0,0.08,0.13,0.0,0,0.07,0.1,0,0.18,0.0,0,?,1,1,?,5,1,5,0,GO0003922@GO0008615@GO0036381@GO0042823
B,21,0.43,0.53,0.95,1.28,-0.01,0.3,0.39,0.8,0.1,3.0,1,0.06,0.2,0,0.13,3.0,1,?,?,?,?,?,?,?,0,GO0004514@GO0005634@GO0005737@GO0034213@GO0034354
B,20,0.45,0.57,0.52,0.98,-0.01,0.0,0.17,0.63,0.1,0.0,0,0.14,0.1,0,0.12,1.42,0,?,?,?,?,5,?,?,0,GO0004298@GO0005634@GO0005789@GO0010499@GO0019774@GO0034515@GO0043161@GO0043248
B,20,0.78,0.5,0.43,0.6,-0.01,0.0,0.05,0.58,0.07,0.0,0,0.15,0.1,0,0.11,0.45,0,?,?,?,?,5,?,?,0,GO0000139@GO0005789@GO0006888@GO0007120@GO0016021@GO0030134@GO0030437@GO0038024@GO1902684@GO2000311
B,20,0.33,0.33,0.49,1.37,-0.0,0.0,0.37,0.63,0.06,0.0,0,0.15,0.1,0,0.18,2.06,1,?,?,?,?,5,1,?,0,GO0003867@GO0005829@GO0009450@GO0030170@GO0034386
D,20,0.14,0.23,0.23,0.28,-0.01,0.13,0.11,0.22,0.18,0.7,0,0.11,0.1,0,0.29,0.38,0,?,?,?,?,?,?,?,0,GO0005634@GO0005643@GO0005654@GO0005737@GO0005829@GO0006606@GO0006607@GO0006612@GO0008139@GO0008565@GO0031144@GO0032991@GO0042564@GO0048471@GO0061608@GO0097718
D,20,0.23,0.27,0.69,0.67,-0.01,0.33,0.32,0.47,0.1,3.3,1,0.1,0.1,0,0.1,3.2,1,?,?,?,?,?,?,?,0,GO0000105@GO0004424
D,20,0.62,0.55,0.79,0.7,-0.01,0.07,0.0,0.67,0.19,0.4,0,0.13,0.1,0,0.13,0.0,0,?,?,?,?,?,?,?,0,GO0004131@GO0008270@GO0008655@GO0009451@GO0019858@GO0044206@GO0046087@GO0102480
D,20,0.16,0.19,0.22,0.19,-0.01,0.09,0.04,0.19,0.23,0.4,0,0.11,0.1,0,0.11,0.36,0,?,?,?,?,?,?,?,0,GO0001054@GO0003677@GO0005654@GO0005666@GO0005736@GO0006360@GO0006386@GO0042254@GO0042797@GO0046983@GO0070893
A,20,0.1,0.11,0.13,0.18,-0.02,0.0,0.0,0.13,0.09,0.0,0,0.19,0.1,0,0.05,0.0,0,?,?,?,?,4,?,5,0,GO0000188@GO0004725@GO0005634@GO0006470@GO0008138@GO0033260
A,21,0.11,0.11,0.2,0.14,-0.02,0.11,0.0,0.14,0.19,0.6,0,0.2,0.1,0,0.09,0.0,0,?,?,?,?,?,?,5,0,GO0005484@GO0005783@GO0005789@GO0006890@GO0015031@GO0016021@GO0031201@GO0048279
A-D,624,0.28,0.18,0.3,0.2,-0.02,0.0,0.02,0.24,0.13,0.0,0,0.17,0.1,0,0.18,0.11,0,?,?,1,1,5,?,2,0,GO0000126@GO0000979@GO0001016@GO0001075@GO0001092@GO0001102@GO0001179@GO0001186@GO0003682@GO0005634@GO0005654@GO0005669@GO0005672@GO0008134@GO0008301@GO0032991@GO0042790@GO0051123@GO0070893@GO0070898@GO0097718
B,20,0.44,0.53,0.9,0.69,-0.02,0.27,0.07,0.64,0.24,1.1,1,0.11,0.2,0,0.15,0.47,0,?,?,?,?,?,?,?,0,GO0004148@GO0004375@GO0004591@GO0004738@GO0005960@GO0005967@GO0006090@GO0006103@GO0006546@GO0006550@GO0006552@GO0006564@GO0006574@GO0009055@GO0009353@GO0042645@GO0042743@GO0045454@GO0050660
B,20,0.66,0.78,0.43,0.73,-0.02,0.04,0.14,0.65,0.15,0.3,0,0.1,0.2,0,0.2,0.7,0,?,?,?,?,2,?,?,0,GO0004506@GO0005783@GO0005789@GO0005811@GO0006696@GO0008144@GO0016021@GO0031090@GO0050660
B,20,0.53,0.52,1.1,0.95,-0.02,0.18,0.29,0.78,0.2,0.9,0,0.13,0.2,0,0.13,2.23,1,?,?,?,?,?,?,?,0,GO0000932@GO0003723@GO0003729@GO0005730@GO0005737@GO0010494@GO0017148@GO0031370@GO0032055
B,20,0.76,0.41,0.12,0.61,-0.02,-0.5,-0.13,0.48,0.28,1.8,1,0.21,0.1,0,0.15,0.87,0,?,?,?,?,1,?,?,0,GO0005351@GO0005353@GO0005355@GO0005886@GO0008645@GO0015146@GO0015578@GO0016021@GO0046323
B,21,0.12,0.07,0.11,0.09,-0.02,0.0,0.0,0.1,0.05,0.0,0,0.05,0.4,0,0.18,0.0,0,?,?,?,?,5,?,5,0,GO0004672@GO0004740@GO0005524@GO0005739@GO0005759@GO0006006@GO0006468@GO0015976@GO0018105@GO0034622
C,21,0.4,0.51,0.55,0.85,-0.02,0.16,0.03,0.58,0.24,0.7,0,0.19,0.1,0,0.2,0.15,0,?,?,?,?,2,?,?,0,GO0000274@GO0015078@GO0015986@GO0099132
C,43,11.7,11.9,8.58,9.2,-0.02,-0.11,-0.1,10.34,0.14,0.8,0,0.14,0.1,0,0.12,0.83,0,?,?,?,?,?,?,?,0,GO0000448@GO0002181@GO0003735@GO0022625@GO0030687
C,20,0.51,0.44,0.33,0.53,-0.02,0.0,0.1,0.45,0.18,0.0,0,0.23,0.1,0,0.25,0.4,0,?,?,?,?,5,?,2,0,GO0004018@GO0006164@GO0006189@GO0044208@GO0070626
D,20,10.1,12.1,12.9,7.72,-0.02,-0.05,-0.01,10.69,0.09,0.6,0,0.06,0.3,0,0.17,0.06,0,?,?,?,?,?,?,?,0,GO0005886@GO0007009
D,21,0.96,1.53,0.89,0.89,-0.02,-0.05,-0.13,1.07,0.17,0.3,0,0.1,0.2,0,0.17,0.76,0,?,?,?,?,?,?,?,0,GO0005886@GO0015174@GO0015802@GO0016021
D,21,0.1,0.15,0.14,0.15,-0.02,-0.09,0.02,0.14,0.25,0.4,0,0.09,0.2,0,0.15,0.13,0,1,?,?,?,?,?,2,0,GO0004819@GO0005524@GO0005739@GO0005829@GO0006425
D,21,1.03,0.97,1.26,1.51,-0.02,0.09,0.13,1.19,0.12,0.8,0,0.14,0.1,0,0.11,1.18,0,?,?,?,?,?,?,?,0,GO0003746@GO0003924@GO0005525@GO0005739@GO0032543@GO0070125
D,20,1.04,0.63,1.73,2.74,-0.02,0.19,0.43,1.54,0.09,2.1,0,0.13,0.2,0,0.12,3.58,1,?,?,?,?,?,?,?,0,GO0004356@GO0005524@GO0005737@GO0006542@GO0034399
A,41,0.8,0.64,0.55,0.69,-0.03,-0.13,0.01,0.67,0.06,2.2,0,0.1,0.3,0,0.11,0.09,0,?,?,?,?,?,?,?,0,GO0005576@GO0005886@GO0009277@GO0031225@GO0031505
A,20,3.3,3.09,3.09,1.85,-0.03,-0.11,-0.14,2.83,0.07,1.6,0,0.05,0.6,0,0.09,1.56,0,?,?,?,?,?,?,?,0,GO0000028@GO0002181@GO0003735@GO0022627
B,20,0.27,0.25,0.27,0.38,-0.03,-0.05,0.03,0.29,0.09,0.6,0,0.08,0.4,0,0.15,0.2,0,?,?,?,?,?,?,?,0,GO0001402@GO0005034@GO0005078@GO0005886@GO0005933@GO0005935@GO0007231@GO0016021@GO0030010@GO0034605@GO0043332@GO0044697
B,20,0.37,0.36,0.47,0.38,-0.03,0.13,0.01,0.4,0.06,2.2,0,0.14,0.2,0,0.17,0.06,0,?,?,?,?,?,?,?,0,GO0000139@GO0005048@GO0005789@GO0006886@GO0008270@GO0016236@GO0030127@GO0090110
C,21,0.47,0.39,0.29,0.54,-0.03,0.0,0.11,0.42,0.18,0.0,0,0.17,0.2,0,0.14,0.79,0,?,?,?,?,5,?,2,0,GO0000407@GO0005783@GO0006888@GO0006891@GO0016236@GO0032258@GO0033106@GO1990070@GO1990071@GO1990072
D,20,2.07,1.62,2.68,1.55,-0.03,0.1,-0.09,1.98,0.13,0.8,0,0.14,0.2,0,0.14,0.64,0,?,?,?,?,?,?,?,0,GO0000139@GO0005783@GO0005794@GO0006888@GO0016021@GO0030134
D,20,0.41,0.43,0.57,0.46,-0.0,0.15,-0.07,0.47,0.14,1.1,0,0.19,0.2,0,0.11,0.64,0,?,?,?,?,2,2,?,0,GO0004609@GO0006646@GO0006656@GO0010636@GO0010954@GO0016540@GO0031305
D,20,0.2,0.18,0.25,0.27,-0.03,0.08,0.05,0.23,0.14,0.6,0,0.17,0.2,0,0.11,0.45,0,?,?,?,?,?,?,?,0,GO0005654@GO0005956@GO0006356@GO0006359@GO0006468@GO0006974@GO0018105@GO0018107@GO0019887@GO0030291@GO0031167@GO0032545@GO0034456
D,20,0.42,0.55,0.61,0.67,-0.03,0.01,0.0,0.56,0.16,0.1,0,0.11,0.3,0,0.15,0.0,0,?,?,?,?,?,?,4,0,GO0005739@GO0005759@GO0009055@GO0016491@GO0033539@GO0050660
D,20,0.29,0.24,0.49,0.39,-0.03,0.09,0.0,0.35,0.21,0.4,0,0.17,0.2,0,0.16,0.0,0,?,?,?,?,?,?,?,0,GO0004766@GO0008295@GO0015940
A,20,17.4,16.0,11.8,11.7,-0.04,-0.14,-0.14,14.22,0.05,2.8,0,0.06,0.7,0,0.08,1.75,0,?,?,?,?,?,?,?,0,GO0002181@GO0003723@GO0003735@GO0005634@GO0022625
A,20,0.21,0.18,0.15,0.14,-0.04,0.02,0.0,0.17,0.14,0.1,0,0.13,0.3,0,0.07,0.0,0,?,?,?,?,?,?,5,0,GO0005789@GO0016021@GO0030447@GO0031204@GO0031207
A,21,0.1,0.08,0.1,0.1,-0.04,0.0,0.0,0.1,0.09,0.0,0,0.24,0.2,0,0.07,0.0,0,?,?,?,?,5,?,5,0,GO0000453@GO0003723@GO0005737@GO0009020@GO0016423@GO0030488@GO0070039
A,21,0.21,0.21,0.26,0.24,-0.04,0.11,0.06,0.23,0.12,0.9,0,0.17,0.2,0,0.07,0.86,0,?,?,?,?,?,?,?,0,GO0000209@GO0000502@GO0004842@GO0005524@GO0005634@GO0006511@GO0016050@GO0030433@GO0031625@GO0061630
B,21,1.89,1.74,1.18,2.07,-0.04,-0.2,0.05,1.72,0.16,1.3,1,0.14,0.3,0,0.17,0.29,0,?,?,?,?,?,?,?,0,GO0000981@GO0003677@GO0005634@GO0006351@GO0006990@GO0010674@GO0030968@GO0034976@GO0045944
A-D,629,3.67,3.35,3.59,4.14,-0.04,-0.06,0.05,3.69,0.18,0.3,0,0.18,0.2,0,0.19,0.26,0,?,?,?,?,?,?,?,0,GO0000001@GO0000011@GO0000132@GO0000142@GO0000812@GO0000916@GO0001300@GO0005200@GO0005524@GO0005884@GO0006281@GO0006887@GO0006897@GO0007119@GO0009306@GO0016573@GO0030010@GO0030050@GO0030476@GO0030479@GO0031011@GO0031505@GO0032432@GO0034599@GO0035267@GO0042802
B,20,0.17,0.18,0.19,0.31,-0.0,0.0,0.02,0.21,0.08,0.0,0,0.09,0.4,0,0.19,0.11,0,?,?,?,?,5,1,?,0,GO0005654@GO0005956@GO0006356@GO0006359@GO0006468@GO0006974@GO0018105@GO0018107@GO0019887@GO0030291@GO0031167@GO0034456
D,21,0.69,0.73,0.89,0.72,-0.04,0.07,-0.07,0.76,0.13,0.5,0,0.15,0.3,0,0.06,1.17,0,?,?,?,?,?,?,?,0,GO0004325@GO0005743@GO0006783
A,16,1.31,1.11,1.39,0.47,-0.05,-0.01,-0.48,1.07,0.08,0.1,0,0.08,0.6,0,0.12,4.0,1,?,?,?,?,?,?,?,0,GO0000788@GO0003677@GO0006281@GO0006333@GO0006342@GO0031298@GO0046982
A,20,0.1,0.18,0.17,0.16,-0.05,-0.08,0.0,0.15,0.09,0.9,0,0.26,0.2,0,0.04,0.0,0,?,?,?,?,?,?,5,0,GO0001671@GO0005483@GO0005829@GO0006886@GO0006914@GO0019898@GO0019905@GO0031201@GO0035494@GO0042144@GO0048280
A,20,0.1,0.11,0.13,0.1,-0.05,0.0,0.0,0.11,0.09,0.0,0,0.16,0.3,0,0.08,0.0,0,1,?,?,?,4,?,5,0,GO0005829@GO0006474@GO0031417
A,20,0.25,0.32,0.19,0.21,-0.05,0.0,0.0,0.24,0.1,0.0,0,0.15,0.3,0,0.11,0.0,0,?,?,?,?,5,?,5,0,GO0000122@GO0000433@GO0001191@GO0001198@GO0005634@GO0006351@GO0016584@GO0017053@GO0035955@GO0036033@GO0042393@GO0042826@GO0043486@GO0045944@GO0080025@GO2000217@GO2000531@GO2001020
A,20,0.47,0.38,0.33,0.42,-0.05,-0.1,-0.07,0.4,0.06,1.7,0,0.06,0.8,0,0.09,0.78,0,?,?,?,?,?,?,?,0,GO0004828@GO0005524@GO0006434@GO0010494@GO0097056
A,20,0.32,0.26,0.36,0.29,-0.05,-0.01,-0.03,0.31,0.07,0.1,0,0.14,0.4,0,0.05,0.6,0,?,?,?,?,?,?,?,0,GO0004814@GO0005524@GO0005739@GO0005829@GO0006420@GO0032543
A,20,0.19,0.16,0.22,0.1,-0.05,-0.06,-0.1,0.17,0.07,0.9,0,0.15,0.3,0,0.08,0.75,0,?,?,?,1,?,?,1,0,GO0000162@GO0004048
B,20,3.65,2.59,4.14,5.92,-0.05,0.0,-0.01,4.08,0.1,0.0,0,0.13,0.4,0,0.15,0.07,0,?,?,?,?,5,?,?,0,GO0003723@GO0003743@GO0003746@GO0006452@GO0022626@GO0043022@GO0045901@GO0045905@GO0045948@GO1903272
B,20,0.68,0.79,0.79,1.41,-0.05,-0.05,0.17,0.92,0.13,0.4,0,0.14,0.4,0,0.14,1.21,0,?,?,?,?,?,?,?,0,GO0005886@GO0015205@GO0015212@GO0015856@GO0015861@GO0016021@GO0072530
B,20,0.73,0.39,0.1,0.91,-0.05,-0.7,0.12,0.53,0.31,2.2,1,0.07,0.7,0,0.16,0.75,0,?,?,?,?,1,?,?,0,GO0000722@GO0003676@GO0003678@GO0005524@GO0005634
B,21,0.65,0.84,0.67,0.99,-0.05,0.0,0.05,0.79,0.11,0.0,0,0.11,0.5,0,0.13,0.38,0,?,?,?,?,?,?,?,0,GO0000049@GO0005737@GO0006418@GO0008047@GO0010494@GO0017101@GO0017102@GO0032266@GO0051351@GO0080025
B,20,0.11,0.1,0.2,0.07,-0.1,0.22,0.0,0.11,0.22,1.0,1,0.09,0.6,0,0.18,0.0,0,?,1,?,?,?,1,5,0,GO0003850@GO0006006@GO0046872
B,20,0.8,1.03,1.51,0.96,-0.1,0.03,0.0,1.08,0.12,0.3,0,0.12,0.4,0,0.15,0.0,0,?,?,?,?,?,1,?,0,GO0005783@GO0005787@GO0006465@GO0008233@GO0008236@GO0016021@GO0045047
B,21,0.19,0.16,0.15,0.21,-0.05,-0.05,-0.08,0.18,0.04,1.3,0,0.07,0.7,0,0.16,0.5,0,?,?,?,?,?,?,?,0,GO0000781@GO0006348@GO0006351@GO0008623@GO0046982
C,20,0.4,0.42,0.3,0.39,-0.05,0.0,0.0,0.37,0.14,0.0,0,0.13,0.4,0,0.17,0.0,0,?,?,1,?,5,?,4,0,GO0003838@GO0005783@GO0005811@GO0006696
A,20,3.47,2.96,2.1,1.7,-0.06,-0.22,-0.32,2.56,0.11,2.0,1,0.07,0.9,0,0.1,3.2,1,?,?,?,?,?,?,?,0,GO0002181@GO0003735@GO0022625
A,26,1.58,1.2,1.69,2.78,-0.06,0.07,0.24,1.81,0.07,1.0,0,0.06,1.0,0,0.08,3.0,1,?,?,?,?,?,?,?,0,GO0000209@GO0000502@GO0004842@GO0005524@GO0006513@GO0016567@GO0030674@GO0034605@GO0043130@GO0043162@GO0071629
A,20,0.11,0.11,0.1,0.11,-0.06,0.0,0.0,0.1,0.1,0.0,0,0.22,0.3,0,0.03,0.0,0,?,?,1,?,5,?,5,0,GO0002181@GO0003723@GO0005844@GO0010494
A,20,9.07,6.59,5.58,6.13,-0.06,-0.16,-0.22,6.84,0.05,3.2,0,0.05,1.2,0,0.06,3.67,1,?,?,?,?,?,?,?,0,GO0005216@GO0005739@GO0005886@GO0005933@GO0016021@GO0032780
